type_of_fish,search_fish
Myrophys plumbeus,Myrophys plumbeus
N._cornutus,Luxilus cornutus
N._deliciosus,Notropis deliciosus
N._dorsalis,Notropis dorsalis
N._rubellus,Notropis rubellus
N._spilopterus,Cyprinella spilopterus
na_aestivalis,Macrhybopsis aestivalis
na_deliciosus,Notropis deliciosus
na_perspicuus,Pimephales vigilax
Notropis biguttatus,Notropis biguttatus
Notropis chrosomus,Notropis chrosomus
Notropis cornutus,Notropis cornutus
Notropis girardi,Notropis girardi
Notropis longirostris,Notropis longirostris
Notropis micropogon,Notropis micropogon
Notropis procne,Notropis procne
Notropis sabinae,Notropis sabinae
Notropis venustus,Notropis venustus
Notropis zonistius,Notropis zonistius
Notropis_cornutus,Luxilus cornutus
Noturus gyrinus,Noturus gyrinus
Oncorhynchus mykiss,Oncorhynchus mykiss
Oreochromis mossambicus,Oreochromis mossambicus
Oreochromis niloticus,Oreochromis niloticus
P._mirabilis,Phenacobius mirabilis
P._Promelas,Pimephales promelas
Pantosterus clarki,Pantosterus clarki
Parachanna obscura,Parachanna obscura
Pellonula sp.,Pellonela
Petrotilapia nigra,Petrotilapia nigra
Phalloceros caudimoaculatus,Phalloceros caudimoaculatus
Physailia pellucida,Physailia pellucida
Pimelodella pappenheimi,Pimelodella pappenheimi
Pinephales_promelas,Pinephales promelas
Plagioscion squamosissimus,Plagioscion squamosissimus
Pogonias cromis,Pogonias cromis
Polydactylus quadrifilis,Polydactylus quadrifilis
Pomadasys jubelini,Pomadasys jubelini
Pomadasys peroteti,Pomadasys peroteti
Progobius schlegelii,Progobius schlegelii
prosopium williamsoni,Prosopium williamsoni
Protopterus annectens,Protopterus annectens
Pseudogastromzyon myersi,Pseudogastromzyon myersi
Pseudogobius olorum,Pseudogobius olorum
Pseudotothyris obtusa,Pseudotothyris obtusa
Pseudotropheus elongatus,Pseudotropheus elongatus
Pseudotropheus gracilior,Pseudotropheus gracilior
Pseudotropheus tropheops,Pseudotropheus tropheops
Pseudotropheus zebra,Pseudotropheus zebra
Raphiodon  vulpinus,Raphiodon  vulpinus
readear sunfish,Lepomis microlophus
redspotted sunfish,Lepomis miniatus
Rhynichthys atronasus,Rhynichthys atronasus
Rineloricaria kronei,Rineloricaria kronei
