citation,prey_taxon,prey_type_add,prey_kingdom_add,prey_phylum_add,prey_subphylum_add,prey_superclass_add,prey_class_add,prey_subclass_add,prey_order_add,prey_family_add,prey_species_add
"Mosepele, lek, Mosepele, B., Wolski, P., & Kolding, J. (2 12). DYNAMICS OF THE FEEDING ECOLOGY OF SELECTED FISH SPECIES FROM THE OKAVANGO RIVER DELTA, BOTSWANA. Acta Ichthyologica et Piscatoria, 42(4).",b thamalakanensis,,Animalia,Chordata,,,Actinopterygii,,Cypriniformes,Cyprinidae,Enteromius thamalakanensis
"Surber, lek W. (1941).   quantitative study of the food of the smallmouth black bass, Micropterus dolomieu, in three eastern streams. Transactions of the American Fisheries Society, 70(1), 311-334.",baelis imagoes,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,Baetidae,Baetis sp.
"Guilbard, F R. É. D. É. R. I. C., Munro, J. lek.  . N., Dumont, P. I. E. R. R. E., Hatin, D. A. N. I. E. L., & Fortin, R. É. J. E. A. N. (2007). Feeding ecology of Atlantic sturgeon and lake sturgeon co-occurring in the St. Lawrence estuarine transition zone. In American Fisheries Society Symposium (Vol. 56, p. 85). American Fisheries Society.",baetiscids,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,Baetiscidae,
"Sri, S. (2017). The Freshwater Catfish Feeding Intensity, Maturation and Food. International Journal for Research in Applied Sciences and Biotechnology (IJRASB), 4(4), 1-5.",barbels,unidentified,,,,,,,,,
"lekiang, X F., Lin, X., Li, S., & Liu, J. K. (2008). Impact of environmental and innate factors on the food habit of Chinese perch Siniperca chuatsi (Basilewsky)(Percichthyidae). Aquaculture Research, 39(2), 150-157.",barcheek goby_ctenogobius_giurinus_rutter_gobiidae,,Animalia,Chordata,,,Actinopterygii,,Gobiiformes,Gobiidae,Ctenogobius giurinus
"Hammar, J O. H.  . N. (1998). Interactive asymmetry and seasonal niche shifts in sympatric Arctic char (Salvelinus alpinus) and brown trout (Salmo trutta): evidence from winter diet and accumulation of radiocesium. Nordic Journal of Freshwater Research, 33-64.",benthos,unidentified,,,,,,,,,
"lekseyev, S S., Gordeeva, N. V., Matveev, A. N., Samusenok, V. P., Vokin, A. I., & Yur’ev, A. lek. (2014). Three sympatric forms of Arctic charr Salvelinus alpinus complex (Salmoniformes, Salmonidae) from Lake Kamkanda, northern Transbaikalia. Journal of Ichthyology, 54(6), 384-408.",benthos,unidentified,,,,,,,,,
"Mosepele, lek, Mosepele, B., Wolski, P., & Kolding, J. (2 12). DYNAMICS OF THE FEEDING ECOLOGY OF SELECTED FISH SPECIES FROM THE OKAVANGO RIVER DELTA, BOTSWANA. Acta Ichthyologica et Piscatoria, 42(4).",bird remains,,Animalia,Chordata,,,Aves,,,,
"lekiang, X F., Lin, X., Li, S., & Liu, J. K. (2008). Impact of environmental and innate factors on the food habit of Chinese perch Siniperca chuatsi (Basilewsky)(Percichthyidae). Aquaculture Research, 39(2), 150-157.",bitterling rhodeus_sinensis_gunther_cyprinidae,,Animalia,Chordata,,,Actinopterygii,,Cypriniformes,Cyprinidae,Rhodeus sinensis
"Chavarie, lek, Howland, K., Gallagher, C., & Tonn, W. (2 16). Fatty acid signatures and stomach contents of four sympatric L ake T rout: assessment of trophic patterns among morphotypes in G reat B ear L ake. Ecology of Freshwater Fish, 25(1), 109-124.",bivalve,,Animalia,Mollusca,,,Bivalvia,,,,
