citation,prey_taxon,prey_type_add,prey_kingdom_add,prey_phylum_add,prey_subphylum_add,prey_superclass_add,prey_class_add,prey_subclass_add,prey_order_add,prey_family_add,prey_species_add
"Hickley, P, & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 3 (2), 147-159.",entire fsh,,Animalia,Chordata,,Osteichthyes,,,,,
"pplegate, R lek. (1966). Food and growth of six centrarchids from shoreline areas of Bull Shoals Reservoir. In Southeast. Assoc. Game and Fish Commrs. 20th Ann. Conf. (pp. 469-481).",entomostraca,,Animalia,Arthropoda,Crustacea,,,,,,
"lekvans, H E. (1952). The food of a population of brown trout, Salmo trutta Linn., from Central New York.  merican Midland Naturalist, 413-420.",epheinenda,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,,
"Surber, lek W. (1941).   quantitative study of the food of the smallmouth black bass, Micropterus dolomieu, in three eastern streams. Transactions of the American Fisheries Society, 70(1), 311-334.",ephemerella imagoes,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,Ephemerellidae,Ephemerella sp.
"lekllison, J P. (198 ). DIETS OF MOUNTAIN WHITEFISH, PROSOPIUM WILLIAMSONI (GIRARD), AND BROOK TROUT, SALVELINUS FONTINALIS (MITCHELL), IN THE LITTLE WALKER RIVER, MONO COUNTY, CALIFORNIA.",ephemerella newt,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,Ephemerellidae,Ephemerella sp.
"Surber, lek W. (1941).   quantitative study of the food of the smallmouth black bass, Micropterus dolomieu, in three eastern streams. Transactions of the American Fisheries Society, 70(1), 311-334.",ephemerella nymphs,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,Ephemerellidae,Ephemerella sp.
not findable,ephemerida larvae,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,,
"Huish, M T. (1957). Food habits of three centrarchidae in lekake George, Florida. In Proc.  nn. Conf. SE Game Fish Comm (Vol. 11, pp. 293-302)",ephemerida nymph,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,,
"McHugh, J lek. (194 ). Food of the Rocky Mountain whitefish Prosopium williamsoni (Girard). Journal of the Fisheries Board of Canada, 5(2), 131-137.",ephemerida nymphs,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,,
"Moshin,   M., & Gallaway, B. J. (1977). Seasonal abundance, distribution, food habitats and condition of the southern brook lamprey, Ichthyomyzon gagei Hubbs & Trautman, in an east Texas watershed. The Southwestern Naturalist, 107-114.",euastrunz sp,,Plantae,Charaphyta,,,Zygnematophyceae,,Desmidiales,Desmidiaceae,Euastrum sp.
"Balik, I., Karasahin, B., Özkök, R., Çubuk, H., & Uysal, R. (2003). Diet of silver crucian carp Carasssius gibelio in Lake Egirdir. Turkish Journal of Fisheries and Aquatic Sciences, 3(2), 87-91.",euciliata vorticella_sp,,Protozoa,Ciliophora,,,Oligohymenophorea,,Sessilada,Vorticellidae,Vorticella sp.
not findable,eucopepoda,,Animalia,Arthropoda,Crustacea,,Hexanauplia,Copepoda,,,
"Yalçin-Özdilek, S, lekirankaya, S. G., & Ekmekçi, F. G. (2 13). Feeding ecology of the topmouth gudgeon Pseudorasbora parva (Temminck and Schlegel, 1846) in the Gelingüllü Reservoir, Turkey. Turkish Journal of Fisheries and Aquatic Sciences, 13(1), 87-94.",euglenophyta,,Protista,Euglenophyta,,,Euglenophyceae,,,,
"Malmquist, H J., Snorrason, S. S., Skulason, S., Jonsson, B., Sandlund, O. T., & Jonasson, P. M. (1992). Diet differentiation in polymorphic  rctic charr in Thingvallavatn, Iceland. Journal of Animal lekcology, 21-35.",eukiefferiel pupae,,Animalia,Arthropoda,,,Insecta,,Diptera,Chironomidae,Eukiefferiella sp.
"Tippets, W lek., & Moyle, P. B. (1978). Epibenthic feeding by rainbow trout (Salmo gairdneri) in the McCloud River, California. The Journal of  nimal Ecology, 549-559.",exuviae,,Animalia,Arthropoda,,,Insecta,,,,
"Murphy, G W., Newcomb, T. J., Orth, D. J., & Reeser, S. J. (2 05). Food habits of selected fish species in the Shenandoah River Basin, Virginia. In Proc Annu Conf Southeast Assoc Fish and Wildl Agencies (Vol. 59, pp. 325-335).",fantail darter,,Animalia,Chordata,,Osteichthyes,Actinopterygii,,Perciformes,Percidae,Etheostoma flabellare
"Villares-Junior, G  ., Cardone, I. B., & Goitein, R. (2016). Comparative feeding ecology of four syntopic Hypostomus species in a Brazilian southeastern river. Brazilian Journal of Biology, 76(3), 692-699.",fine sediment,fine sediment,,,,,,,,,
no results in search,fish eggs_and_plant_material,mix,,,,,,,,,
"Wedderburn, S D., Bice, C. M., & Barnes, T. C. (2 15). Prey selection and diet overlap of native golden perch and alien redfin perch under contrasting hydrological conditions. Australian Journal of Zoology, 62(5), 374-381.",flathead gudgeon,,Animalia,Chordata,,Osteichthyes,Actinopterygii,,Gobiiformes,Eleotridae,Philypnodon grandiceps
"lekeonard, J W. (1939). Feeding Habits of the Montana Grayling (Thymallus Montanus Milner) in Ford Lake, Michigan. Transactions of the  merican Fisheries Society, 68(1), 188-195.",flydracarina,,Animalia,Arthropoda,,,Arachnida,Acari,Trombidiformes,,
"Dudgeon, D (1987). Niche specificities of four fish species (Homalopteridae, Cobitidae and Gobiidae) in a Hong lekong forest stream.  rchiv f. Hydrobiologie, 108, 349-364.",fpom,FPOM,,,,,,,,,
"Silva, Z, Nascimento, P. lek. C. D., Vitule, J. R. S., Frehse, F. D.  ., Ferraz, M. S. O., & Mourgués-Schurter, L. R. (2019). Diet and resource sharing by two Pimelodidae species in a Southeastern Brazilian reservoir. Biota Neotropica, 19(3).",fragments,mix,,,,,,,,,
"Weliange, W S., &  marasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri lekanka. Asian Fisheries Science, 16(3/4), 203-214.",gamules and_spiricles,unidentified,,,,,,,,,
"Li, K. C., Shieh, B. S., Chiu, Y. W., Huang, D. J., & Liang, S. H. (2016). Growth, diet composition and reproductive biology of the invasive freshwater fish Chevron snakehead Channa striata on a subtropical Island. Zoological Studies, 55.",gecko,,Animalia,Chordata,,,Reptilia,,Squamata,,
"Yamazaki, lek, Kanou, K., &  rayama, K. (2019). Nocturnal activity and feeding of juvenile channel catfish, Ictalurus punctatus, around offshore breakwaters in Lake Kasumigaura, Japan. Ichthyological Research, 66(1), 166-171.",gobiid larvae,,Animalia,Chordata,,Osteichthyes,Actinopterygii,,Gobiiformes,Gobiidae,
"Sri, S. (2017). The Freshwater Catfish Feeding Intensity, Maturation and Food. International Journal for Research in Applied Sciences and Biotechnology (IJRASB), 4(4), 1-5.",grains wheat,,Plantae,,,,,,Poales,Poaceae,Trticum sp.
"Mosepele, lek, Mosepele, B., Wolski, P., & Kolding, J. (2 12). DYNAMICS OF THE FEEDING ECOLOGY OF SELECTED FISH SPECIES FROM THE OKAVANGO RIVER DELTA, BOTSWANA. Acta Ichthyologica et Piscatoria, 42(4).",grass,,Plantae,,,,,,Poales,Poaceae,
"Hickley, P, & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 3 (2), 147-159.",grasses,,Plantae,,,,,,Poales,Poaceae,
"Cable, lek E. (1927). Food of Bullheads in Certain Lakes of Eastern South Dakota (Doctoral dissertation,  niversity of South Dakota).",grasshopper legs,,Animalia,Arthropoda,,,Insecta,,Diptera,Orthoptera,
"Taher, M M.,  l-Dubakel, A. Y., & Al-lekamy, J. H. (2016). Trophic breadth and dietary overlap for ten fish species caught from Shatt Al-Arab River, Fao, southern Iraq. Al-Kufa University Journal for Biology, (Special Second International Scientific Conference for the Life Sciences), 100-107.",green algae,,Plantae,,,,,,,,
"Thompson, H  ., & Simon, T. P. (2014). Diet shift response in round goby, Neogobius melanostomus, based on size, sex, depth, and habitat in the western basin of lekake Erie. Journal of Applied Ichthyology, 30(5), 955-961.",green algae,,Plantae,,,,,,,,
"Villares-Junior, G  ., Cardone, I. B., & Goitein, R. (2016). Comparative feeding ecology of four syntopic Hypostomus species in a Brazilian southeastern river. Brazilian Journal of Biology, 76(3), 692-699.",green algae,,Plantae,,,,,,,,
"tobatele, O lek., & Ugwumba, A. O. (2011). Condition factor and diet of Chrysichthys nigrodigitatus and Chrysichthys auratus (Siluriformes: Bagridae) from Aiba Reservoir, Iwo, Nigeria. Revista de Biología Tropical, 59(3), 1233-1244.",green eggs,,Animalia,,,,,,,,
"Ball, J N. (1961, December). On the food of the brown trout of leklyn Tegid. In Proceedings of the Zoological Society of London (Vol. 137, No. 4, pp. 599-622). Oxford,  K: Blackwell Publishing Ltd.",gwyniad eggs,,Animalia,Chordata,,Osteichthyes,Actinopterygii,,Salmoniformes,Salmonidae,Coregonus pennantii
"yoade, A, Fagade, S., & Adebisi, A. (2008). Diet and dietary habits of the fish Schilbe mystus (Siluriformes: Schilbeidae) in two artificial lakes in Southwestern Nigeria. Revista de biología tropical, 56(4), 1847-1855.",h bebe_occidentalis_fry,,Animalia,Chordata,,Osteichthyes,Actinopterygii,,Osteoglossiformes,Mormyridae,Hyperopisus knoepffleri
"Williams, Jack lek and Williams, Cynthia D. (198 ) ""Feeding ecology ofGila boraxobius(Osteichthyes: Cyprinidae) endemic to a thermal lake in southeastern Oregon,""Great Basin Naturalist: Vol. 40 : No. 2 , Article 1.",harpacticoid copepods,,Animalia,Arthropoda,Crustacea,,Hexanauplia,Copepoda,Harpacticoida,,
"Chavarie, lek, Howland, K., Gallagher, C., & Tonn, W. (2 16). Fatty acid signatures and stomach contents of four sympatric L ake T rout: assessment of trophic patterns among morphotypes in G reat B ear L ake. Ecology of Freshwater Fish, 25(1), 109-124.",harpalini,,Animalia,Arthropoda,,,Insecta,,Coleoptera,Carabidae,
"Surber, lek W. (1941).   quantitative study of the food of the smallmouth black bass, Micropterus dolomieu, in three eastern streams. Transactions of the American Fisheries Society, 70(1), 311-334.",hepeagenia imagoes,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,Heptageniidae,
"Surber, lek W. (1941).   quantitative study of the food of the smallmouth black bass, Micropterus dolomieu, in three eastern streams. Transactions of the American Fisheries Society, 70(1), 311-334.",heplagenia nymphs,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,Heptageniidae,
"Malmquist, H J., Snorrason, S. S., Skulason, S., Jonsson, B., Sandlund, O. T., & Jonasson, P. M. (1992). Diet differentiation in polymorphic  rctic charr in Thingvallavatn, Iceland. Journal of Animal lekcology, 21-35.",heterotr cladius_larvae,,Animalia,Arthropoda,,,Insecta,,Diptera,Chironomidae,
"Huish, M T. (1957). Food habits of three centrarchidae in lekake George, Florida. In Proc.  nn. Conf. SE Game Fish Comm (Vol. 11, pp. 293-302)",hyacinth roots,,Plantae,,,,,,Asparagales,Asparagaceae,Hyacinthus sp.
"Romand, R, & Morgalet, P. (1983). lekcology and feeding habits of vari-ous Cyprinodontidae from Guinea. Revue De Zoologie  fricaine, 97, 288-299.",hydrocaria,,Animalia,Byrozoa,,,Gymnolaemata,,Ctenostomatida,,
"Hickley, P, & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 3 (2), 147-159.",i mm_organic_debris,detritus,,,,,,,,,
"Masdeu, M, Mello, F. T. D., lekoureiro, M., &  rim, M. (2011). Feeding habits and morphometry of Iheringichthys labrosus (Lütken, 1874) in the Uruguay River (Uruguay). Neotropical Ichthyology, 9(3), 657-664.",immature bivalve,,Animalia,Mollusca,,,Bivalvia,,,,
Cochran& delman 1982 leknvironmentalBiologyOfFishes,Incidentalmatter,unidentified,,,,,,,,,
Cochron& delman 1982 leknvironmentalBiologyOfFishes,Incidentalmatter,unidentified,,,,,,,,,
"Muoneke, M I., Henry, C. C., & Maughan, O. lek. (1992). Population structure and food habits of white crappie Pomoxis annularis Rafinesque in a turbid Oklahoma reservoir. Journal of Fish Biology, 41(4), 647-654.",inland silverside,,Animalia,Chordata,,Osteichthyes,Actinopterygii,,Atheriniformes,Atherinopsidae,Menidia beryllina
"Clarkson, R W., & Minckley, W. lek. (1988). Morphology and foods of  rizona catostomid fishes: Catostomus insignis, Pantosteus clarki, and their putative hybrids. Copeia, 422-433.",inorganic_material,detritus,,,,,,,,,
"Dudgeon, D (1987). Niche specificities of four fish species (Homalopteridae, Cobitidae and Gobiidae) in a Hong lekong forest stream.  rchiv f. Hydrobiologie, 108, 349-364.",inorganic_material,detritus,,,,,,,,,
"Gomes-Ferreira,  , Ribeiro, F., Moreira da Costa, lek., Cowx, I. G., & Collares-Pereira, M. J. (2005). Variability in diet and foraging behaviour between sexes and ploidy forms of the hybridogenetic Squalius alburnoides complex (Cyprinidae) in the Guadiana River basin, Portugal. Journal of Fish Biology, 66(2), 454-467.",inorganic_material,detritus,,,,,,,,,
"lbrecht, M P., & Caramaschi, lek. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",inorganic_matter,detritus,,,,,,,,,
"Chavarie, lek, Howland, K., Gallagher, C., & Tonn, W. (2 16). Fatty acid signatures and stomach contents of four sympatric L ake T rout: assessment of trophic patterns among morphotypes in G reat B ear L ake. Ecology of Freshwater Fish, 25(1), 109-124.",invertebrate,,Animalia,Arthropoda,,,,,,,
"lcaraz, C, & García-Berthou, lek. (2007). Food of an endangered cyprinodont (Aphanius iberus): ontogenetic diet shift and prey electivity. Environmental Biology of Fishes, 78(3), 193-207.",invertebrate eggs,,Animalia,Arthropoda,,,,,,,
"Silva, N C. D. S., Costa,  . J. lek. D., Louvise, J., Soares, B. E., ALBRECHT, M. P., & CARAMASCHI, É. P. (2016). Resource partitioning and ecomorphological variation in two syntopic species of Lebiasinidae (Characiformes) in an Amazonian stream. Acta Amazonica, 46(1), 25-36.",invertebrate eggs,,Animalia,Arthropoda,,,,,,,
"Tippets, W lek., & Moyle, P. B. (1978). Epibenthic feeding by rainbow trout (Salmo gairdneri) in the McCloud River, California. The Journal of  nimal Ecology, 549-559.",iron sp,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,Rhyacophilidae,
"Nurnberger, P lek. (193 ). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",johnnie darter,,Animalia,Chordata,,Osteichthyes,Actinopterygii,,Perciformes,Percidae,Etheostoma nigrum
"Olojo, lek  . A., Olurin, K. B., & Osikoya, O. J. (2003). Food and feeding habits of Synodontis nigrita from the Osun River, SW Nigeria.",kerattela sp,,Animalia,Rotifera,,,Monogononta,,Ploima,Brachionidae,Keratella sp.
"Vieira, J P., & lekopes, M. N. (2 13). Size-selective predation of the catfish Pimelodus pintado (Siluriformes: Pimelodidae) on the golden mussel Limnoperna fortunei (Bivalvia: Mytilidae). Zoologia (Curitiba), 30(1), 43-48.",l fortunei,,Animalia,Mollusca,,,Bivalvia,,Mytilida,Mytilidae,Limnoperna fortunei
"Sanyanga, R  . (1997). Food composition and selectivity of Synodontis zambezensis (Pisces: Mochokidae) in lekake Kariba, and the ecological implications. Hydrobiologia, 361(1-3), 89-99.",l natalensis,,Animalia,Mollusca,,,Gastropoda,,,Lymnaeidae,Radix natalensis
"Clemens, H P. (1951). The food of the burbot lekota lota maculosa (LeSueur) in Lake Erie. Transactions of the  merican Fisheries Society, 80(1), 56-66.",lamellibranchs,,Animalia,Mollusca,,,Bivalvia,,,,
"Moshin,   M., & Gallaway, B. J. (1977). Seasonal abundance, distribution, food habitats and condition of the southern brook lamprey, Ichthyomyzon gagei Hubbs & Trautman, in an east Texas watershed. The Southwestern Naturalist, 107-114.",large pennate_diatom,,Chromista,Ochrophyta,,,Bacillariophyceae,,,,
Cochran& delman 1982 leknvironmentalBiologyOfFishes,Leopardfrogs,,Animalia,Chordata,,,Amphibia,,Anura,Ranidae,Lithobates sp.
Cochron& delman 1982 leknvironmentalBiologyOfFishes,Leopardfrogs,,Animalia,Chordata,,,Amphibia,,Anura,Ranidae,Lithobates sp.
"Fernandes, S, lekeitão, R. P., Dary, E. P., Guerreiro,  . I. C., Zuanon, J., & Bührnheim, C. M. (2017). Diet of two syntopic species of Crenuchidae (Ostariophysi: Characiformes) in an Amazonian rocky stream. Biota Neotropica, 17(1).",leptophlebiidaenewt,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,Leptophlebiidae,
"bilhoa, V, Vitule, J. R. S., & Bornatowski, H. (2010). Feeding ecology of Rivulus luelingi (Aplocheiloidei: Rivulidae) in a coastal Atlantic rainforest stream, southern Brazil. Neotropical Ichthyology, 8(4), 813-818.",libelullidade nymphs,,Animalia,Arthropoda,,,Insecta,,Odonata,Libellulidae,
"Surber, lek W. (1941).   quantitative study of the food of the smallmouth black bass, Micropterus dolomieu, in three eastern streams. Transactions of the American Fisheries Society, 70(1), 311-334.",lsonychia nymphs,,Animalia,Arthropoda,,,Insecta,,Ephemeroptera,Isonychiidae,Isonychia sp.
"Weliange, W S., &  marasinghe, U. S. (2003). Accounting for diel feeding periodicity in quantifying food resource partitioning in fish assemblages in three reservoirs of Sri lekanka. Asian Fisheries Science, 16(3/4), 203-214.",lumholtzi,,Animalia,Arthropoda,Crustacea,,Branchiopoda,,Cladocera,Daphniidae,Daphnia lumholtzi
"Sanyanga, R  . (1997). Food composition and selectivity of Synodontis zambezensis (Pisces: Mochokidae) in lekake Kariba, and the ecological implications. Hydrobiologia, 361(1-3), 89-99.",m tuberculata,,Animalia,Mollusca,,,Gastropoda,,,Thiaridae,Melanoides tuberculata
"Jepsen, D B., Winemiller, lek. O., & Taphorn, D. C. (1997). Temporal patterns of resource partitioning among Cichla species in a Venezuelan blackwater river. Journal of Fish Biology, 51(6), 1 85-1108.",macrocrustacea,,Animalia,Arthropoda,Crustacea,,,,,,
"Mosepele, lek, Mosepele, B., Wolski, P., & Kolding, J. (2 12). DYNAMICS OF THE FEEDING ECOLOGY OF SELECTED FISH SPECIES FROM THE OKAVANGO RIVER DELTA, BOTSWANA. Acta Ichthyologica et Piscatoria, 42(4).",millipedes,,Animalia,Arthropoda,,,Diplopoda,,,,
"Vieira, J P., & lekopes, M. N. (2 13). Size-selective predation of the catfish Pimelodus pintado (Siluriformes: Pimelodidae) on the golden mussel Limnoperna fortunei (Bivalvia: Mytilidae). Zoologia (Curitiba), 30(1), 43-48.",mineral,detritus,,,,,,,,,
"Tippets, W lek., & Moyle, P. B. (1978). Epibenthic feeding by rainbow trout (Salmo gairdneri) in the McCloud River, California. The Journal of  nimal Ecology, 549-559.",misc adults,,Animalia,Arthropoda,,,Insecta,,Diptera,,
"lekllison, J P. (198 ). DIETS OF MOUNTAIN WHITEFISH, PROSOPIUM WILLIAMSONI (GIRARD), AND BROOK TROUT, SALVELINUS FONTINALIS (MITCHELL), IN THE LITTLE WALKER RIVER, MONO COUNTY, CALIFORNIA.",miscellaneous adult,,Animalia,Arthropoda,,,Insecta,,,,
no results in search,miscellaneous fish_eggs_and_plant_remains,mix,,,,,,,,,
"lekllison, J P. (198 ). DIETS OF MOUNTAIN WHITEFISH, PROSOPIUM WILLIAMSONI (GIRARD), AND BROOK TROUT, SALVELINUS FONTINALIS (MITCHELL), IN THE LITTLE WALKER RIVER, MONO COUNTY, CALIFORNIA.",miscellaneous nonaquatic_adult,,Animalia,Arthropoda,,,Insecta,,Coleoptera,,
no results in search,miscellaneous plant_material,,Plantae,,,,,,,,
"Dineen, C F. (1951).   comparative study of the food habits of Cottus bairdii and associated species of Salmonidae. The American Midland Naturalist, 46(3), 640-645.",mites,,Animalia,Arthropoda,,,Arachnida,,,,
"yinla, 1988, Nigerian Institute for Oceanography and Marine Research lekagos",mn_remains,unidentified,,,,,,,,,
"Joadder, M R. (2006). Food and feeding habits of Gagata youssoufi (Rahman) from the river Padma in Rajshahi. University Journal of Zoology, Rajshahi University, 25, 69-71.",mosquito l_arvae,,Animalia,Arthropoda,,,Insecta,,Diptera,Culicidae,
"Hazzard,   S., & Madsen, M. J. (1933). Studies of the food of the cutthroat trout. Transactions of the American Fisheries Society, 63(1), 198-203.",mouse,,Animalia,Chordata,,,Mammalia,,Muscidae,,
"Okey, I., Offem, B. O., & Keremah, R. I. (2017). Length-weight relationship, condition factor and gut content of Chrysichthys furcatus Gunther, 1864 (Bagridae) from Cross River at Ahaha. Fish Aqua J, 8(228), 2.",mud,detritus,,,,,,,,,
"Ndome, C B., & Victor, R. (2 02). Food and feeding habits of lekpiplatys senegalensis (Pisces: Cyprinodontiformes; Cyprinodontidae) in a back water pond in Benin City, Southern Nigeria. West African Journal of Applied Ecology, 3(1).",mud pellets,detritus,,,,,,,,,
"Ndome, C B., & Victor, R. (2 02). Food and feeding habits of lekpiplatys senegalensis (Pisces: Cyprinodontiformes; Cyprinodontidae) in a back water pond in Benin City, Southern Nigeria. West African Journal of Applied Ecology, 3(1).",multicellular algae,,Plantae,,,,,,,,
"Balik, I., Karasahin, B., Özkök, R., Çubuk, H., & Uysal, R. (2003). Diet of silver crucian carp Carasssius gibelio in Lake Egirdir. Turkish Journal of Fisheries and Aquatic Sciences, 3(2), 87-91.",mysidacea mysis_sp,,Animalia,Arthropoda,Crustacea,,Malacostraca,,Mysida,Mysidae,Mysis sp.
"lekeonard, J W. (1942). Some observations on the winter feeding habits of brook trout fingerlings in relation to natural food organisms present. Transactions of the  merican Fisheries Society, 71(1), 219-227.",mystrophora americana_larvae,,Animalia,Arthropoda,,,Insecta,,Trichoptera,,
"lekeonard, J W. (1942). Some observations on the winter feeding habits of brook trout fingerlings in relation to natural food organisms present. Transactions of the  merican Fisheries Society, 71(1), 219-227.",mystrophora americana_pupae,,Animalia,Arthropoda,,,Insecta,,Trichoptera,,
"Nurnberger, P lek. (193 ). The plant and animal food of the fishes of Big Sandy Lake. Transactions of the American Fisheries Society, 60(1), 253-259.",nauplius larvae,,Animalia,Arthropoda,Crustacea,,Hexanauplia,Copepoda,Cyclopodia,Cyclopidae,Cyclops sp.
"Neill, R M. (1938). XVIII.—The Food and Feeding of the Brown Trout (Salmo trutta lek.) in Relation to the Organic Environment. Earth and Environmental Science Transactions of The Royal Society of Edinburgh, 59(2), 481-52 .",nemathelminthes,,Animalia,Nematoda,,,,,,,
"Greenfield, D W., Greenfield, T.  ., & Brinton, S. lek. (1983). Spatial and trophic interactions between Gambusia sexradiata and Gambusia puncticulata yucatana (Pisces: Poeciliidae) in Belize, Central America. Copeia, 598-607.",nematoceria larvae,,Animalia,Arthropoda,,,Insecta,,Diptera,,
"Greenfield, D W., Greenfield, T.  ., & Brinton, S. lek. (1983). Spatial and trophic interactions between Gambusia sexradiata and Gambusia puncticulata yucatana (Pisces: Poeciliidae) in Belize, Central America. Copeia, 598-607.",nematoceria pupae,,Animalia,Arthropoda,,,Insecta,,Diptera,,
"llen, lek R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349.",nemura nymphs,,Animalia,Arthropoda,,,Insecta,,Plecoptera,Nemouriae,Nemoura sp.
"Perello, M. M., Simon, T. P., Thompson, H. A., & Kane, D. D. (2015). Feeding ecology of the invasive round goby, Neogobius melanostomus (Pallas, 1814), based on laboratory size preference and field diet in different habitats in the western basin of Lake Erie. Aquatic Invasions, 10(4), 463-474.",non dreissenid_bivalves,,Animalia,Mollusca,,,Bivalvia,,,,
"lekiang, X F., Lin, X., Li, S., & Liu, J. K. (2008). Impact of environmental and innate factors on the food habit of Chinese perch Siniperca chuatsi (Basilewsky)(Percichthyidae). Aquaculture Research, 39(2), 150-157.",northern snakehead_channa_argus_cantor_channidae,,Animalia,Chordata,,,Actinopterygii,,Anabantiformes,Channidae,Channa argus
"de  lmeida VlekL, Hahn NS, Vazzoler AEA de M Feeding patterns in
five predatory fishes of the high Parana River floodplain (PR, Brazil).
Ecology of Freshwater Fish 1997: 6: 123-133.",not_identified,unidentified,,,,,,,,,
"Hickley, P, & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 3 (2), 147-159.",nymphs,,Animalia,Arthropoda,,,Insecta,,,,
"Guilbard, F R. É. D. É. R. I. C., Munro, J. lek.  . N., Dumont, P. I. E. R. R. E., Hatin, D. A. N. I. E. L., & Fortin, R. É. J. E. A. N. (2007). Feeding ecology of Atlantic sturgeon and lake sturgeon co-occurring in the St. Lawrence estuarine transition zone. In American Fisheries Society Symposium (Vol. 56, p. 85). American Fisheries Society.",operculab,,Animalia,Mollusca,,,Gastropoda,,,,
"Fernandes, S, lekeitão, R. P., Dary, E. P., Guerreiro,  . I. C., Zuanon, J., & Bührnheim, C. M. (2017). Diet of two syntopic species of Crenuchidae (Ostariophysi: Characiformes) in an Amazonian rocky stream. Biota Neotropica, 17(1).",organic debris,detritus,,,,,,,,,
"Hickley, P, & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 3 (2), 147-159.",organic debris,detritus,,,,,,,,,
"Delariva, R lek., &  gostinho, A. A. (2001). Relationship between morphology and diets of six neotropical loricariids. Journal of Fish Biology, 58(3), 832-847.",organic detritus,detritus,,,,,,,,,
"lekopes, D  ., Vieira, K. R. I., da Silva Mota, R., de Souza, M. R. F., dos Santos Costa, F. E., & Paiva, F. (2017). Opportunistic diet of Triportheus nematurus (Characiformes: Triportheidae) in Southern Pantanal ponds: influences of temporal availability and abundance of resources. Acta Scientiarum. Biological Sciences, 39(4), 441-447.",organic matter,detritus,,,,,,,,,
"Salvador-Jr, lek F., Salvador, G. N., & Santos, G. B. (2 09). Morphology of the digestive tract and feeding habits of Loricaria lentiginosa Isbrücker, 1979 in a Brazilian reservoir. Acta Zoologica, 90(2), 101-109.",organic matter,detritus,,,,,,,,,
"Silva, N C. D. S., Costa,  . J. lek. D., Louvise, J., Soares, B. E., ALBRECHT, M. P., & CARAMASCHI, É. P. (2016). Resource partitioning and ecomorphological variation in two syntopic species of Lebiasinidae (Characiformes) in an Amazonian stream. Acta Amazonica, 46(1), 25-36.",organic matter,detritus,,,,,,,,,
"Darnell, R M. (1958). Food habits of fishes and large invertebrate of lekake Pontchartrain, Louisiana, an estuarine community. Publ. Inst. Mar. Sci.  niv. Tex, 5, 353-416.",organic_mat_undet,detritus,,,,,,,,,
"lbrecht, M P., & Caramaschi, lek. P. (2003). Feeding ecology of Leporinus friderici (Teleostei; Anostomidae) in the upper Tocantins River, Central Brazil, before and after installation of a hydroelectric plant. Studies on Neotropical Fauna and Environment, 38(1), 33-40.",organic_matter,detritus,,,,,,,,,
"Maddern, M G., Morgan, D. lek., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia.<U+00A0>Journal of the Royal Society of Western Australia,<U+00A0>90(4), 203-214.",organic_matter_not_identified,detritus,,,,,,,,,
"Maitland, P S. (1965). The feeding relationships of salmon, trout, minnows, stone loach and three-spined stickle-backs in the River lekndrick, Scotland. The Journal of  nimal Ecology, 109-133.",other aquatic,unidentified,,,,,,,,,
"Speirs, G D. (1974). Food habits of landlocked salmon and brook trout in a Maine lake after introduction of landlocked alewives. Transactions of the  merican Fisheries Society, 103(2), 396-399.",other aquatic,unidentified,,,,,,,,,
"Gill, H S., & Morgan, D. lek. (1998). Larval development of Nannatherina balstoni Regan (Nannopercidae), with a description of ontogenetic changes in diet. Ecology of Freshwater Fish, 7(3), 132-139.",other aquatic_fauna,unidentified,,,,,,,,,
