type_fishmatch,type_of_fish,fish_order,fish_family,fish_species,fish_class,fish_superclass
Cheimarrichthys fosteri,Cheimarrichthys fosteri,Perciformes,Cheimarrichthyidae,Cheimarrichthys fosteri,Actinopterygii,Osteichthyes
Caenotropus labyrinthicus,Caenotropus labyrinthicus,Characiformes,Chilodontidae,Caenotropus labyrinthicus,Actinopterygii,Osteichthyes
"Chrysichthys
nigrodigitatus","Chrysichthys
nigrodigitatus",Siluriformes,Claroteidae,Chrysichthys nigrodigitatus,Actinopterygii,NA
Oreochromis mossambicus,Oreochromis mossambicus,Perciformes,Cichlidae,Oreochromis mossambicus,Actinopterygii,Osteichthyes
Pseudotropheus tropheops,Pseudotropheus tropheops,Cichliformes,Cichlidae,Tropheops tropheops,Actinopterygii,Osteichthyes
Labeotropheus fuelleborni,Labeotropheus fuelleborni,Cichliformes,Cichlidae,Labeotropheus fuelleborni,Actinopterygii,Osteichthyes
Melanochromis auratus,Melanochromis auratus,Cichliformes,Cichlidae,Melanochromis auratus,Actinopterygii,Osteichthyes
Pseudotropheus gracilior,Pseudotropheus gracilior,Cichliformes,Cichlidae,Tropheops gracilior,Actinopterygii,Osteichthyes
Pseudotropheus elongatus,Pseudotropheus elongatus,Cichliformes,Cichlidae,Pseudotropheus elongatus,Actinopterygii,Osteichthyes
Petrotilapia nigra,Petrotilapia nigra,Cichliformes,Cichlidae,Petrotilapia nigra,Actinopterygii,Osteichthyes
Pseudotropheus zebra,Pseudotropheus zebra,Cichliformes,Cichlidae,Maylandia zebra,Actinopterygii,Osteichthyes
Oreochromis andersonii,Oreochromis andersonii,Perciformes,Cichlidae,Oreochromis andersonii,Actinopterygii,Osteichthyes
Tilapia mariae,Tilapia mariae,Perciformes,Cichlidae,Pelmatolapia mariae,Actinopterygii,Osteichthyes
Satanoperca jurupari,Satanoperca jurupari,Perciformes,Cichlidae,Satanoperca jurupari,Actinopterygii,Osteichthyes
Geophagus altifrons,Geophagus altifrons,Perciformes,Cichlidae,Geophagus altifrons,Actinopterygii,Osteichthyes
Retroculus lapidifer,Retroculus lapidifer,Perciformes,Cichlidae,Retroculus lapidifer,Actinopterygii,Osteichthyes
Geophagus proximus,Geophagus proximus,Perciformes,Cichlidae,Geophagus proximus,Actinopterygii,Osteichthyes
Satanoperca pappaterra,Satanoperca pappaterra,Perciformes,Cichlidae,Satanoperca pappaterra,Actinopterygii,Osteichthyes
Tilapia rendalli,Tilapia rendalli,Perciformes,Cichlidae,Coptodon rendalli,Actinopterygii,Osteichthyes
Oreochromis niloticus,Oreochromis niloticus,Perciformes,Cichlidae,Oreochromis niloticus,Actinopterygii,Osteichthyes
Cichla kelberi,Cichla kelberi,Perciformes,Cichlidae,Cichla kelberi,Actinopterygii,Osteichthyes
Sarotherodon galilaeus,Sarotherodon galilaeus,Perciformes,Cichlidae,Sarotherodon galilaeus,Actinopterygii,Osteichthyes
Tilapia zillii,Tilapia zillii,Perciformes,Cichlidae,Coptodon zillii,Actinopterygii,Osteichthyes
Hemichromis fasciatus,Hemichromis fasciatus,Perciformes,Cichlidae,Hemichromis fasciatus,Actinopterygii,Osteichthyes
Chromidotilapia guntberi,Chromidotilapia guntberi,Cichliformes,Cichlidae,Chromidotilapia guntberi,Actinopterygii,NA
Hemichromis letourmeauxi,Hemichromis letourmeauxi,Cichliformes,Cichlidae,Hemichromis letourneuxi,Actinopterygii,NA
Thoracochromis loati,Thoracochromis loati,Cichliformes,Cichlidae,Thoracochromis loati,Actinopterygii,NA
Tilapa rendalli,Tilapa rendalli,Cichliformes,Cichlidae,Coptodon rendalli,Actinopterygii,NA
Citharinus citharus,Citharinus citharus,Characiformes,Citharinidae,Citharinus citharus,Actinopterygii,Osteichthyes
Citharinus latus,Citharinus latus,Characiformes,Citharinidae,Citharinus latus,Actinopterygii,Osteichthyes
Clarias gariepinus,Clarias gariepinus,Siluriformes,Clariidae,Clarias gariepinus,Actinopterygii,Osteichthyes
Clarius garlepinus,Clarius garlepinus,Siluriformes,Clariidae,Clarias gariepinus,Actinopterygii,NA
Clarius ngamensis,Clarius ngamensis,Siluriformes,Clariidae,Clarias ngamensis,Actinopterygii,NA
Auchenoglanis biscutatus,Auchenoglanis biscutatus,Siluriformes,Claroteidae,Auchenoglanis biscutatus,Actinopterygii,Osteichthyes
Clarotes laticeps,Clarotes laticeps,Siluriformes,Claroteidae,Clarotes laticeps,Actinopterygii,Osteichthyes
Alosa sapidissima,Alosa sapidissima,Clupeiformes,Clupeidae,Alosa sapidissima,Actinopterygii,Osteichthyes
Alosa macedonica,Alosa macedonica,Clupeiformes,Clupeidae,Alosa macedonica,Actinopterygii,Osteichthyes
Dorosoma petenense,Dorosoma petenense,Clupeiformes,Clupeidae,Dorosoma petenense,Actinopterygii,Osteichthyes
Tenualosa ilisha,Tenualosa ilisha,Clupeiformes,Clupeidae,Tenualosa ilisha,Actinopterygii,Osteichthyes
Anodontostoma chacund,Anodontostoma chacund,Clupeiformes,Clupeidae,Anodontostoma chacunda,Actinopterygii,NA
Cottus carolinae,Cottus carolinae,Scorpaeniformes,Cottidae,Cottus carolinae,Actinopterygii,Osteichthyes
Cottus ictalops,Cottus ictalops,Scorpaeniformes,Cottidae,Cottus bairdii,Actinopterygii,Osteichthyes
Cottus bairdi punctulatus,Cottus bairdi punctulatus,Scorpaeniformes,Cottidae,Cottus bairdii,Actinopterygii,NA
Cottus gobio L.,Cottus gobio L.,Scorpaeniformes,Cottidae,Cottus gobio,Actinopterygii,NA
Sculpin,Sculpin,Scorpaeniformes,Cottidae,Cottus sp.,Actinopterygii,NA
Characidium vidali,Characidium vidali,Characiformes,Crenuchidae,Characidium vidali,Actinopterygii,Osteichthyes
Curimatella immaculata,Curimatella immaculata,Characiformes,Curimatidae,Curimatella immaculata,Actinopterygii,Osteichthyes
Cyphocharax plumbeus,Cyphocharax plumbeus,Characiformes,Curimatidae,Cyphocharax plumbeus,Actinopterygii,Osteichthyes
Cyphocharax spilurus,Cyphocharax spilurus,Characiformes,Curimatidae,Cyphocharax spilurus,Actinopterygii,Osteichthyes
Steindachnerina gracilis,Steindachnerina gracilis,Characiformes,Curimatidae,Steindachnerina gracilis,Actinopterygii,Osteichthyes
Steindachnerina insculpta,Steindachnerina insculpta,Characiformes,Curimatidae,Steindachnerina insculpta,Actinopterygii,Osteichthyes
Notropis procne,Notropis procne,Cypriniformes,Cyprinidae,Notropis procne,Actinopterygii,Osteichthyes
Exoglossum maxillingua,Exoglossum maxillingua,Cypriniformes,Cyprinidae,Exoglossum maxillingua,Actinopterygii,Osteichthyes
Notropis chrosomus,Notropis chrosomus,Cypriniformes,Cyprinidae,Notropis chrosomus,Actinopterygii,Osteichthyes
Gila bicolor,Gila bicolor,Cypriniformes,Cyprinidae,Siphateles bicolor,Actinopterygii,Osteichthyes
Squalius alburnoides,Squalius alburnoides,Cypriniformes,Cyprinidae,Squalius alburnoides,Actinopterygii,Osteichthyes
Notropis longirostris,Notropis longirostris,Cypriniformes,Cyprinidae,Notropis longirostris,Actinopterygii,Osteichthyes
Rutilus rutilus,Rutilus rutilus,Cypriniformes,Cyprinidae,Rutilus rutilus,Actinopterygii,Osteichthyes
Semotilus corporalis,Semotilus corporalis,Cypriniformes,Cyprinidae,Semotilus corporalis,Actinopterygii,Osteichthyes
Squalius cii,Squalius cii,Cypriniformes,Cyprinidae,Squalius cii,Actinopterygii,Osteichthyes
Cyprinella trichroistia,Cyprinella trichroistia,Cypriniformes,Cyprinidae,Cyprinella trichroistia,Actinopterygii,Osteichthyes
Macrhybopsis tetranema,Macrhybopsis tetranema,Cypriniformes,Cyprinidae,Macrhybopsis tetranema,Actinopterygii,Osteichthyes
Notropis girardi,Notropis girardi,Cypriniformes,Cyprinidae,Notropis girardi,Actinopterygii,Osteichthyes
Notropis sabinae,Notropis sabinae,Cypriniformes,Cyprinidae,Notropis sabinae,Actinopterygii,Osteichthyes
Gila boraxobius,Gila boraxobius,Cypriniformes,Cyprinidae,Siphateles boraxobius,Actinopterygii,Osteichthyes
Plagopterus argentissimus,Plagopterus_argentissimus,Cypriniformes,Cyprinidae,Plagopterus argentissimus,Actinopterygii,Osteichthyes
Cyprinella lutrensis,Cyprinella_lutrensis,Cypriniformes,Cyprinidae,Cyprinella lutrensis,Actinopterygii,Osteichthyes
Pimephales vigilax,Pimephales_vigilax,Cypriniformes,Cyprinidae,Pimephales vigilax,Actinopterygii,Osteichthyes
Pimephales promelas,Pimephales_promelas,Cypriniformes,Cyprinidae,Pimephales promelas,Actinopterygii,Osteichthyes
Pimephales notatus,Pimephales_notatus,Cypriniformes,Cyprinidae,Pimephales notatus,Actinopterygii,Osteichthyes
Semotilus atromaculatus,Semotilus_atromaculatus,Cypriniformes,Cyprinidae,Semotilus atromaculatus,Actinopterygii,Osteichthyes
Luxilus chrysocephalus,Luxilus_chrysocephalus,Cypriniformes,Cyprinidae,Luxilus chrysocephalus,Actinopterygii,Osteichthyes
Cyprinella spiloptera,Cyprinella_spiloptera,Cypriniformes,Cyprinidae,Cyprinella spiloptera,Actinopterygii,Osteichthyes
Nocomis biguttatus,Nocomis_biguttatus,Cypriniformes,Cyprinidae,Nocomis biguttatus,Actinopterygii,Osteichthyes
Abramis brama,Abramis brama,Cypriniformes,Cyprinidae,Abramis brama,Actinopterygii,Osteichthyes
Gobio gobio,Gobio gobio,Cypriniformes,Cyprinidae,Gobio gobio,Actinopterygii,Osteichthyes
Alburnus alburnus,Alburnus alburnus,Cypriniformes,Cyprinidae,Alburnus alburnus,Actinopterygii,Osteichthyes
Pseudobarbus burchelli,Pseudobarbus burchelli,Cypriniformes,Cyprinidae,Pseudobarbus burchelli,Actinopterygii,Osteichthyes
Carassius auratus,Carassius auratus,Cypriniformes,Cyprinidae,Carassius auratus,Actinopterygii,Osteichthyes
Devario regina,Devario regina,Cypriniformes,Cyprinidae,Devario regina,Actinopterygii,Osteichthyes
Pseudorasbora parva,Pseudorasbora parva,Cypriniformes,Cyprinidae,Pseudorasbora parva,Actinopterygii,Osteichthyes
Barbus bocagei,Barbus bocagei,Cypriniformes,Cyprinidae,Luciobarbus bocagei,Actinopterygii,Osteichthyes
Chondrostoma polylepis,Chondrostoma polylepis,Cypriniformes,Cyprinidae,Pseudochondrostoma polylepis,Actinopterygii,Osteichthyes
Cyprinus carpio,Cyprinus carpio,Cypriniformes,Cyprinidae,Cyprinus carpio,Actinopterygii,Osteichthyes
Leuciscus pyrenaicus,Leuciscus pyrenaicus,Cypriniformes,Cyprinidae,Squalius pyrenaicus,Actinopterygii,Osteichthyes
Rutilus alburnoides,Rutilus alburnoides,Cypriniformes,Cyprinidae,Squalius alburnoides,Actinopterygii,Osteichthyes
Notropis heterodon,Notropis heterodon,Cypriniformes,Cyprinidae,Notropis heterodon,Actinopterygii,Osteichthyes
Labeo niloticus,Labeo niloticus,Cypriniformes,Cyprinidae,Labeo niloticus,Actinopterygii,Osteichthyes
Chelaethiops bibie,Chelaethiops bibie,Cypriniformes,Cyprinidae,Chelaethiops bibie,Actinopterygii,Osteichthyes
"Acanthobrama marmid,","Acanthobrama marmid,",Cypriniformes,Cyprinidae,Acanthobrama marmid,Actinopterygii,NA
Gila alrordensis,Gila alrordensis,Cypriniformes,Cyprinidae,Siphateles alvordensis,Actinopterygii,NA
Luxilus cornulus,Luxilus cornulus,Cypriniformes,Cyprinidae,Luxilus cornutus,Actinopterygii,NA
Notemignus crysoleucas,Notemignus crysoleucas,Cypriniformes,Cyprinidae,Notemigonus chrysoleuas,Actinopterygii,NA
Phoximus phoximus,Phoximus phoximus,Cypriniformes,Cyprinidae,Phoxinus phoxinus,Actinopterygii,NA
Pimephales,Pimephales,Cypriniformes,Cyprinidae,Pimephales sp.,Actinopterygii,NA
Puntis filamentosus,Puntis filamentosus,Cypriniformes,Cyprinidae,Dawkinsia filamentosa,Actinopterygii,NA
Round tail chub,Round tail chub,Cypriniformes,Cyprinidae,Gila robusta,Actinopterygii,NA
Amargosa Pupfish,Amargosa Pupfish,Cyprinodontiformes,Cyprinodontidae,Cyprinodon nevadensis,Actinopterygii,NA
Aphanius iberus,Aphanius iberus,Cyprinodontiformes,Cyprinodontidae,Aphanius iberus,Actinopterygii,Osteichthyes
Common Carp,Common Carp,Cypriniformes,Cyprinus carpio,Cyprinus carpio,Actinopterygii,NA
Distichodus rostratus,Distichodus rostratus,Characiformes,Distichodontidae,Distichodus rostratus,Actinopterygii,Osteichthyes
Nannaethiops unitaeniatus,Nannaethiops unitaeniatus,Characiformes,Distichodontidae,Nannaethiops unitaeniatus,Actinopterygii,Osteichthyes
Hypseleotris compressa,Hypseleotris compressa,Perciformes,Eleotridae,Hypseleotris compressa,Actinopterygii,Osteichthyes
Gobiomorphus hubbsi,Gobiomorphus hubbsi,Perciformes,Eleotridae,Gobiomorphus hubbsi,Actinopterygii,Osteichthyes
Gobiomorphus cotidianus,Gobiomorphus cotidianus,Perciformes,Eleotridae,Gobiomorphus cotidianus,Actinopterygii,Osteichthyes
Midgley<U+0092>s gudgeons,Midgley<U+0092>s gudgeons,Gobiiformes,Eleotridae,Hypseleotris,Actinopterygii,NA
Anchoa mitchilli,Anchoa mitchilli,Clupeiformes,Engraulidae,Anchoa mitchilli,Actinopterygii,Osteichthyes
Hoplias malabaricus,Hoplias malabaricus,Characiformes,Erythrinidae,Hoplias malabaricus,Actinopterygii,Osteichthyes
Esox niger,Esox niger,Esociformes,Esocidae,Esox niger,Actinopterygii,Osteichthyes
grass pickerel,grass pickerel,Esociformes,Esocidae,Esox americanus,Actinopterygii,NA
Northern pike,Northern pike,Esociformes,Esocidae,Esox lucius,Actinopterygii,NA
Orangebelly darter,Orangebelly darter,Perciformes,Percidae,Etheostoma radiosum,Actinopterygii,NA
Fundulus notatus,Fundulus_notatus,Cyprinodontiformes,Fundulidae,Fundulus notatus,Actinopterygii,Osteichthyes
Fundulus diaphanus,Fundulus diaphanus,Cyprinodontiformes,Fundulidae,Fundulus diaphanus,Actinopterygii,Osteichthyes
Galaxias vulgaris,Galaxias vulgaris,Osmeriformes,Galaxiidae,Galaxias vulgaris,Actinopterygii,Osteichthyes
Galaxias zebratus,Galaxias zebratus,Osmeriformes,Galaxiidae,Galaxias zebratus,Actinopterygii,Osteichthyes
Threespine stickleback,Threespine stickleback,Gasterosteiformes,Gasterosteidae,Gasterosteus aculeatus,Actinopterygii,NA
Economidichthys pygmaeus,Economidichthys pygmaeus,Perciformes,Gobiidae,Economidichthys pygmaeus,Actinopterygii,Osteichthyes
Awaous guamensis,Awaous guamensis,Perciformes,Gobiidae,Awaous guamensis,Actinopterygii,Osteichthyes
Sicyopterus stimpsoni,Sicyopterus stimpsoni,Perciformes,Gobiidae,Sicyopterus stimpsoni,Actinopterygii,Osteichthyes
Hemichromis Fasciatus,Hemichromis Fasciatus,Cichliformes,Cichlidae,Hemichromis fasciatus,Actinopterygii,NA
Bivibranchia velox,Bivibranchia velox,Characiformes,Hemiodontidae,Bivibranchia velox,Actinopterygii,Osteichthyes
Hemiodus unimaculatus,Hemiodus unimaculatus,Characiformes,Hemiodontidae,Hemiodus unimaculatus,Actinopterygii,Osteichthyes
Bivibranchia fowleri,Bivibranchia fowleri,Characiformes,Hemiodontidae,Bivibranchia fowleri,Actinopterygii,Osteichthyes
Hepsetus odoe,Hepsetus odoe,Characiformes,Hepsetidae,Hepsetus odoe,Actinopterygii,Osteichthyes
Pimelodella cristata,Pimelodella cristata,Siluriformes,Heptapteridae,Pimelodella cristata,Actinopterygii,Osteichthyes
Pimelodella lateristriga,Pimelodella lateristriga,Siluriformes,Heptapteridae,Pimelodella lateristriga,Actinopterygii,Osteichthyes
Pimelodella lateristriga,Pimelodella lateristriga,Siluriformes,Heptapteridae,Pimelodella lateristriga,Actinopterygii,Osteichthyes
Rhamdia quelen,Rhamdia quelen,Siluriformes,Heptapteridae,Rhamdia quelen,Actinopterygii,Osteichthyes
HYPOPHTHALMUS FIMBRIATUS,HYPOPHTHALMUS FIMBRIATUS,Siluriformes,Pimelodidae,Hypophthalmus fimbriatus,Actinopterygii,NA
Hypostomus  albopunctatus,Hypostomus  albopunctatus,Siluriformes,Loricariidae,Hypostomus albopunctatus,Actinopterygii,NA
Hypostomus  regani,Hypostomus  regani,Siluriformes,Loricariidae,Hypostomus regani,Actinopterygii,NA
Hypostomus  strigaticeps,Hypostomus  strigaticeps,Siluriformes,Loricariidae,Hypostomus strigaticeps,Actinopterygii,NA
bullhead catfish,bullhead catfish,Siluriformes,Ictaluridae,Ameiurus sp.,Actinopterygii,NA
Common Bullhead,Common Bullhead,Siluriformes,Ictaluridae,Ameiurus nebulosus,Actinopterygii,NA
Common bullhead,Common bullhead,Siluriformes,Ictaluridae,Ameiurus nebulosus,Actinopterygii,NA
Ameiurus nebulosus,Ameiurus_nebulosus,Siluriformes,Ictaluridae,Ameiurus nebulosus,Actinopterygii,Osteichthyes
Noturus gyrinus,Noturus gyrinus,Siluriformes,Ictaluridae,Noturus gyrinus,Actinopterygii,Osteichthyes
Noturus exilis,Noturus exilis,Siluriformes,Ictaluridae,Noturus exilis,Actinopterygii,Osteichthyes
Ictalurus nebulosus,Ictalurus nebulosus,Siluriformes,Ictaluridae,Ameiurus nebulosus,Actinopterygii,Osteichthyes
Ictalurus punctatus,Ictalurus punctatus,Siluriformes,Ictaluridae,Ictalurus punctatus,Actinopterygii,Osteichthyes
Channel Catfish,Channel Catfish,Siluriformes,Ictaluridae,Ictalurus punctatus,Actinopterygii,NA
Smallmouth Buffalo,Smallmouth Buffalo,Cypriniformes,Cyprinidae,Ictiobus bubalus,Actinopterygii,NA
Lates niloticus,Lates niloticus,Perciformes,Latidae,Lates niloticus,Actinopterygii,Osteichthyes
