prey_kingdom_add,prey_phylum,prey_subphylum,prey_superclass,prey_class_add,prey_subclass,prey_order_add,prey_family_add,prey_species,
,,,,,,,,,dicranota
,,,,,,,,,dicrotendipes
,,,,,,,,,dicrotendipes sp_1
,,,,,,,,,dicrotendipes sp_2
,,,,,,,,,difflugia sp
,,,,,,,,,digested food
,,,,,,,,,dipteran larvae
,,,,,,,,,dipterans
,,,,,,,,,dipterans larvae
,,,,,,,,,diptere
,,,,,,,,,dipterian nymphs
,,,,,,,,,disparalona rostrata
,,,,,,,,,diura sp
,,,,,,,,,diverse
,,,,,,,,,dixa
,,,,,,,,,docidium
,,,,,,,,,docidium sp
,,,,,,,,,dolophilodes
,,,,,,,,,dorosoma cepedianum
,,,,,,,,,dosmina sp
,,,,,,,,,dragon fly
,,,,,,,,,dragon fly_adult
,,,,,,,,,dragon fly_nymph
,,,,,,,,,dragonfly imagoes
,,,,,,,,,dragonfly newt
,,,,,,,,,dragonfly nymph
,,,,,,,,,dragonfly nymphs
,,,,,,,,,dreissena polymorpha
,,,,,,,,,dreissena spp
,,,,,,,,,dromaelus sp
,,,,,,,,,drosophila
,,,,,,,,,duckweed
,,,,,,,,,earth worm
,,,,,,,,,earthworms
,,,,,,,,,eastrum sp
,,,,,,,,,ecdyonurus
,,,,,,,,,echinolaena inflexa_seeds_leaf_stalk
,,,,,,,,,edogonium
,,,,,,,,,egg bundle
,,,,,,,,,egg cases
,,,,,,,,,egg mass
,,,,,,,,,eiseniella
,,,,,,,,,elakatotrix sp
,,,,,,,,,elimia
,,,,,,,,,ellychnia sp
,,,,,,,,,elodea leaves
,,,,,,,,,elophila larvae
,,,,,,,,,elporia
,,,,,,,,,emergent 37
,,,,,,,,,emergent 44
,,,,,,,,,empty_space
,,,,,,,,,emycercus lamellatus
,,,,,,,,,engraulis mordax
,,,,,,,,,enicospilus sp
,,,,,,,,,entire fsh
,,,,,,,,,entomostraca
,,,,,,,,,eobrolgus milleri
,,,,,,,,,eogammarus sp
,,,,,,,,,eogammarus spp
,,,,,,,,,eohaustorius estuaris
,,,,,,,,,epheinenda
,,,,,,,,,ephemeralla invaria_newt
,,,,,,,,,ephemerella
,,,,,,,,,ephemerella grandis
,,,,,,,,,ephemerella hecuba
,,,,,,,,,ephemerella ignita
,,,,,,,,,ephemerella imagoes
,,,,,,,,,ephemerella inermus
,,,,,,,,,ephemerella newt
,,,,,,,,,ephemerella nymphs
,,,,,,,,,ephemerella sp
