"","site_name","predator_min_length","predator_average_length","predator_max_length","length_units","length_measure","predator_stage","type_of_fish","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","measurement_type","measurement_units","author","year","journal","citation","table_figure","notes","prey_taxon","measurement","prey_stage","lon","lat"
"21","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"neuroptera","0.003","unknown","-50.0226154","-25.0073426"
"22","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"odonata_nymph","0.094","larvae","-50.0226154","-25.0073426"
"23","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"plecoptera_larvae","0.002","larvae","-50.0226154","-25.0073426"
"24","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"trichoptera_larvae","0.004","larvae","-50.0226154","-25.0073426"
"25","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"arachnida","0.012","unknown","-50.0226154","-25.0073426"
"26","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"hydracarina","<0.001","unknown","-50.0226154","-25.0073426"
"27","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"amphipoda","0.117","unknown","-50.0226154","-25.0073426"
"28","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"cladocera","0.013","unknown","-50.0226154","-25.0073426"
"29","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"copepoda","0.008","unknown","-50.0226154","-25.0073426"
"30","Alagados Reservoir, Paraná, Brazil","5",NA,NA,"cm","standard length",NA,"Astyanax paranae","711","1996-04-01","1999-01-01","quarterly","Reservoir",NA,"percent volume","percent","Abelha et al.","2006","Neotropical Ichthyology","Abelha, M. C. F., Goulart, E., Kashiwaqui, E. A. L., & Silva, M. R. D. (2006). Astyanax paranae Eigenmann, 1914 (Characiformes: Characidae) in the Alagados reservoir, Paraná, Brazil: diet composition and variation. Neotropical Ichthyology, 4(3), 349-356.","tbl 1",NA,"ostracoda","<0.001","unknown","-50.0226154","-25.0073426"
