"","site_name","lat","long","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","type_of_fish","sample_size","start_date","end_date","habitat","microhabitat","measurement_type","measurement_units","author","year","journal","citation","table_figure","data_sorted_by","fish_id","notes","prey_taxon","measurement","prey_stage","sampling_interval","lon"
"14","chapman River, Australia",NA,NA,"24","44",NA,"mm","standard",NA,"Pseudogobius olorum","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_7",NA,"bacillariophyceae","0.6","unknown",NA,NA
"15","chapman River, Australia",NA,NA,"32","44",NA,"mm","standard",NA,"Oreochromis mossambicus","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_1",NA,"vegetal_matter","10.9","unknown",NA,NA
"16","chapman River, Australia",NA,NA,"25","36",NA,"mm","standard",NA,"Gambusia holbrooki","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_2",NA,"vegetal_matter","1.4","unknown",NA,NA
"17","chapman River, Australia",NA,NA,"31","134",NA,"mm","standard",NA,"Acanthopagrus butcheri","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_3",NA,"vegetal_matter","5.5","unknown",NA,NA
"18","chapman River, Australia",NA,NA,"45","69",NA,"mm","standard",NA,"Amniataba caudavittata","7","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_4",NA,"vegetal_matter","0.1","unknown",NA,NA
"19","chapman River, Australia",NA,NA,"28","56",NA,"mm","standard",NA,"Mugil cephalus","5","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_5",NA,"vegetal_matter","18.1","unknown",NA,NA
"20","chapman River, Australia",NA,NA,"30","59",NA,"mm","standard",NA,"Hypseleotris compressa","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_6",NA,"vegetal_matter","1.3","unknown",NA,NA
"21","chapman River, Australia",NA,NA,"24","44",NA,"mm","standard",NA,"Pseudogobius olorum","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_7",NA,"vegetal_matter","5.6","unknown",NA,NA
"22","chapman River, Australia",NA,NA,"32","44",NA,"mm","standard",NA,"Oreochromis mossambicus","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_1",NA,"seeds","0","unknown",NA,NA
"23","chapman River, Australia",NA,NA,"25","36",NA,"mm","standard",NA,"Gambusia holbrooki","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_2",NA,"seeds","ñ 0.2 ","unknown",NA,NA
"24","chapman River, Australia",NA,NA,"31","134",NA,"mm","standard",NA,"Acanthopagrus butcheri","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_3",NA,"seeds","0","unknown",NA,NA
"25","chapman River, Australia",NA,NA,"45","69",NA,"mm","standard",NA,"Amniataba caudavittata","7","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_4",NA,"seeds","0","unknown",NA,NA
"26","chapman River, Australia",NA,NA,"28","56",NA,"mm","standard",NA,"Mugil cephalus","5","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_5",NA,"seeds","0","unknown",NA,NA
"27","chapman River, Australia",NA,NA,"30","59",NA,"mm","standard",NA,"Hypseleotris compressa","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_6",NA,"seeds","0","unknown",NA,NA
"28","chapman River, Australia",NA,NA,"24","44",NA,"mm","standard",NA,"Pseudogobius olorum","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_7",NA,"seeds","0","unknown",NA,NA
"29","chapman River, Australia",NA,NA,"32","44",NA,"mm","standard",NA,"Oreochromis mossambicus","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_1",NA,"porifera_gemmules_spicules","0","unknown",NA,NA
"30","chapman River, Australia",NA,NA,"25","36",NA,"mm","standard",NA,"Gambusia holbrooki","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_2",NA,"porifera_gemmules_spicules","0","unknown",NA,NA
"31","chapman River, Australia",NA,NA,"31","134",NA,"mm","standard",NA,"Acanthopagrus butcheri","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_3",NA,"porifera_gemmules_spicules","0","unknown",NA,NA
"32","chapman River, Australia",NA,NA,"45","69",NA,"mm","standard",NA,"Amniataba caudavittata","7","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_4",NA,"porifera_gemmules_spicules","0.8","unknown",NA,NA
"33","chapman River, Australia",NA,NA,"28","56",NA,"mm","standard",NA,"Mugil cephalus","5","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_5",NA,"porifera_gemmules_spicules","0","unknown",NA,NA
"34","chapman River, Australia",NA,NA,"30","59",NA,"mm","standard",NA,"Hypseleotris compressa","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_6",NA,"porifera_gemmules_spicules","0","unknown",NA,NA
"35","chapman River, Australia",NA,NA,"24","44",NA,"mm","standard",NA,"Pseudogobius olorum","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_7",NA,"porifera_gemmules_spicules","0","unknown",NA,NA
"36","chapman River, Australia",NA,NA,"32","44",NA,"mm","standard",NA,"Oreochromis mossambicus","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_1",NA,"protozoa","0","unknown",NA,NA
"37","chapman River, Australia",NA,NA,"25","36",NA,"mm","standard",NA,"Gambusia holbrooki","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_2",NA,"protozoa","0","unknown",NA,NA
"38","chapman River, Australia",NA,NA,"31","134",NA,"mm","standard",NA,"Acanthopagrus butcheri","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_3",NA,"protozoa","0","unknown",NA,NA
"39","chapman River, Australia",NA,NA,"45","69",NA,"mm","standard",NA,"Amniataba caudavittata","7","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_4",NA,"protozoa","1.9","unknown",NA,NA
"40","chapman River, Australia",NA,NA,"28","56",NA,"mm","standard",NA,"Mugil cephalus","5","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_5",NA,"protozoa","0","unknown",NA,NA
"41","chapman River, Australia",NA,NA,"30","59",NA,"mm","standard",NA,"Hypseleotris compressa","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_6",NA,"protozoa","0","unknown",NA,NA
"42","chapman River, Australia",NA,NA,"24","44",NA,"mm","standard",NA,"Pseudogobius olorum","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_7",NA,"protozoa","0","unknown",NA,NA
"43","chapman River, Australia",NA,NA,"32","44",NA,"mm","standard",NA,"Oreochromis mossambicus","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_1",NA,"arachnida","0","unknown",NA,NA
"44","chapman River, Australia",NA,NA,"25","36",NA,"mm","standard",NA,"Gambusia holbrooki","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_2",NA,"arachnida","5.7","unknown",NA,NA
"45","chapman River, Australia",NA,NA,"31","134",NA,"mm","standard",NA,"Acanthopagrus butcheri","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_3",NA,"arachnida","0","unknown",NA,NA
"46","chapman River, Australia",NA,NA,"45","69",NA,"mm","standard",NA,"Amniataba caudavittata","7","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_4",NA,"arachnida","0","unknown",NA,NA
"47","chapman River, Australia",NA,NA,"28","56",NA,"mm","standard",NA,"Mugil cephalus","5","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_5",NA,"arachnida","0","unknown",NA,NA
"48","chapman River, Australia",NA,NA,"30","59",NA,"mm","standard",NA,"Hypseleotris compressa","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_6",NA,"arachnida","0","unknown",NA,NA
