,Family,Species,Study
249,Alestidae,Micralestes lualabae,"Poll, 1967"
250,Alestidae,Micralestes lualabae,"Poll, 1967"
251,Alestidae,Micralestes occidentalis,"(Günther, 1899)"
252,Alestidae,Micralestes pabrensis,"(Roman, 1966)"
253,Alestidae,Micralestes sardina,"Poll, 1938"
254,Alestidae,Micralestes sardina,"Poll, 1938"
255,Alestidae,Micralestes schelly,"Stiassny & Mamonekene, 2007"
256,Alestidae,Micralestes stormsi,"Boulenger, 1902"
257,Alestidae,Micralestes vittatus,"(Boulenger, 1917)"
258,Alestidae,Nannopetersius ansorgii,"(Boulenger, 1910)"
259,Alestidae,Nannopetersius lamberti,"Poll, 1967"
260,Alestidae,Nannopetersius mutambuei,"Wamuini Lunkayilakio & Vreven, 2008"
261,Alestidae,Phenacogrammus aurantiacus,"(Pellegrin, 1930)"
262,Alestidae,Phenacogrammus bleheri,"Géry, 1995"
263,Alestidae,Phenacogrammus deheyni,"Poll, 1945"
264,Alestidae,Phenacogrammus deheyni,"Poll, 1945"
265,Alestidae,Phenacogrammus interruptus,"(Boulenger, 1899)"
266,Alestidae,Phenacogrammus interruptus,"(Boulenger, 1899)"
267,Alestidae,Phenacogrammus major,"(Boulenger, 1903)"
268,Alestidae,Phenacogrammus polli,"Lambert, 1961"
269,Alestidae,Phenacogrammus polli,"Lambert, 1961"
270,Alestidae,Phenacogrammus taeniatus,"Géry, 1996"
271,Alestidae,Phenacogrammus urotaenia,"(Boulenger, 1909)"
272,Alestidae,Rhabdalestes aeratis,"Stiassny & Schaefer, 2005"
273,Alestidae,Rhabdalestes brevidorsalis,"(Pellegrin, 1921)"
274,Alestidae,Rhabdalestes maunensis,"(Fowler, 1935)"
275,Alestidae,Rhabdalestes rhodesiensis,"(Ricardo-Bertram, 1943)"
276,Alestidae,Rhabdalestes rhodesiensis,"(Ricardo-Bertram, 1943)"
277,Alestidae,Rhabdalestes septentrionalis,"(Boulenger, 1911)"
278,Alestidae,Rhabdalestes tangensis,"(Lönnberg, 1907)"
279,Alestidae,Rhabdalestes yokai,"Ibala Zamba & Vreven, 2008"
280,Alestidae,Rhabdalestes yokai,"Ibala Zamba & Vreven, 2008"
281,Alestidae,Tricuspidalestes caeruleus,"(Matthes, 1964)"
282,Ambassidae,Ambassis agassizii,"Steindachner, 1867"
283,Ambassidae,Ambassis agrammus,"Günther, 1867"
284,Ambassidae,Ambassis ambassis,"(Lacepède, 1802)"
285,Ambassidae,Ambassis buruensis,"Bleeker, 1856"
286,Ambassidae,Ambassis gymnocephalus,"(Lacepède, 1802)"
287,Ambassidae,Ambassis interrupta,"Bleeker, 1853"
288,Ambassidae,Ambassis kopsii,"Bleeker, 1858"
289,Ambassidae,Ambassis macleayi,"(Castelnau, 1878)"
290,Ambassidae,Ambassis miops,"Günther, 1872"
291,Ambassidae,Ambassis nalua,"(Hamilton, 1822)"
292,Ambassidae,Ambassis natalensis,"Gilchrist & Thompson, 1908"
293,Ambassidae,Ambassis urotaenia,"Bleeker, 1852"
294,Ambassidae,Ambassis vachellii,"Richardson, 1846"
295,Ambassidae,Chanda nama,"Hamilton, 1822"
296,Ambassidae,Denariusa australis,"(Steindachner, 1867)"
297,Ambassidae,Parambassis apogonoides,"(Bleeker, 1851)"
298,Ambassidae,Parambassis baculis,"(Hamilton, 1822)"
299,Ambassidae,Parambassis bistigmata,"Geetakumari, 2012"
300,Ambassidae,Parambassis gulliveri,"(Castelnau, 1878)"
