,Family,Species,Study
6313,Distichodontidae,Nannocharax procatopus,"Boulenger, 1920"
6314,Distichodontidae,Nannocharax pteron,"Fowler, 1936"
6315,Distichodontidae,Nannocharax reidi,"Vari & Ferraris, 2004"
6316,Distichodontidae,Nannocharax rubensteini,"(Jerep & Vari, 2013)"
6317,Distichodontidae,Nannocharax rubrolabiatus,"Van den Bergh, Teugels, Coenen & Ollevier, 1995"
6318,Distichodontidae,Nannocharax schoutedeni,"Poll, 1939"
6319,Distichodontidae,Nannocharax schoutedeni,"Poll, 1939"
6320,Distichodontidae,Nannocharax signifer,"Moritz, 2010"
6321,Distichodontidae,Nannocharax taenia,"Boulenger, 1902"
6322,Distichodontidae,Nannocharax taenia,"Boulenger, 1902"
6323,Distichodontidae,Nannocharax uniocellatus,"(Pellegrin, 1926)"
6324,Distichodontidae,Nannocharax uniocellatus,"(Pellegrin, 1926)"
6325,Distichodontidae,Nannocharax usongo,"Dunz & Schliewen, 2009"
6326,Distichodontidae,Nannocharax wittei,"(Poll, 1933)"
6327,Distichodontidae,Nannocharax zebra,"Dunz & Schliewen, 2009"
6328,Distichodontidae,Neolebias ansorgii,"Boulenger, 1912"
6329,Distichodontidae,Neolebias axelrodi,"Poll & Gosse, 1963"
6330,Distichodontidae,Neolebias gossei,"(Poll & Lambert, 1964)"
6331,Distichodontidae,Neolebias gracilis,"Matthes, 1964"
6332,Distichodontidae,Neolebias kerguennae,"Daget, 1980"
6333,Distichodontidae,Neolebias lozii,"Winemiller & Kelso-Winemiller, 1993"
6334,Distichodontidae,Neolebias philippei,"Poll & Gosse, 1963"
6335,Distichodontidae,Neolebias philippei,"Poll & Gosse, 1963"
6336,Distichodontidae,Neolebias powelli,"Teugels & Roberts, 1990"
6337,Distichodontidae,Neolebias spilotaenia,"Boulenger, 1912"
6338,Distichodontidae,Neolebias trewavasae,"Poll & Gosse, 1963"
6339,Distichodontidae,Neolebias trilineatus,"Boulenger, 1899"
6340,Distichodontidae,Neolebias trilineatus,"Boulenger, 1899"
6341,Distichodontidae,Neolebias unifasciatus,"Steindachner, 1894"
6342,Distichodontidae,Paradistichodus dimidiatus,"(Pellegrin, 1904)"
6343,Distichodontidae,Paraphago rostratus,"Boulenger, 1899"
6344,Distichodontidae,Phago boulengeri,"Schilthuis, 1891"
6345,Distichodontidae,Phago boulengeri,"Schilthuis, 1891"
6346,Distichodontidae,Phago intermedius,"Boulenger, 1899"
6347,Distichodontidae,Phago intermedius,"Boulenger, 1899"
6348,Distichodontidae,Phago loricatus,"Günther, 1865"
6349,Distichodontidae,Xenocharax crassus,"Pellegrin, 1900"
6350,Distichodontidae,Xenocharax crassus,"Pellegrin, 1900"
6351,Distichodontidae,Xenocharax spilurus,"Günther, 1867"
6352,Doradidae,Acanthodoras cataphractus,"(Linnaeus, 1758)"
6353,Doradidae,Acanthodoras depressus,"(Steindachner, 1881)"
6354,Doradidae,Acanthodoras spinosissimus,"(Eigenmann & Eigenmann, 1888)"
6355,Doradidae,Agamyxis albomaculatus,"(Peters, 1877)"
6356,Doradidae,Agamyxis pectinifrons,"(Cope, 1870)"
6357,Doradidae,Amblydoras affinis,"(Kner, 1855)"
6358,Doradidae,Amblydoras bolivarensis,"(Fernández-Yépez, 1968)"
6359,Doradidae,Amblydoras gonzalezi,"(Fernández-Yépez, 1968)"
6360,Doradidae,Amblydoras monitor,"(Cope, 1872)"
6361,Doradidae,Amblydoras nauticus,"(Cope, 1874)"
6362,Doradidae,Anadoras grypus,"(Cope, 1872)"
6363,Doradidae,Anadoras regani,"(Steindachner, 1908)"
6364,Doradidae,Anadoras weddellii,"(Castelnau, 1855)"
6365,Doradidae,Anduzedoras oxyrhynchus,"(Valenciennes, 1821)"
6366,Doradidae,Astrodoras asterifrons,"(Kner, 1853)"
6367,Doradidae,Centrochir crocodili,"(Humboldt, 1821)"
6368,Doradidae,Centrodoras brachiatus,"(Cope, 1872)"
6369,Doradidae,Centrodoras hasemani,"(Steindachner, 1915)"
6370,Doradidae,Doras carinatus,"(Linnaeus, 1766)"
6371,Doradidae,Doras higuchii,"Sabaj Pérez & Birindelli, 2008"
6372,Doradidae,Doras phlyzakion,"Sabaj Pérez & Birindelli, 2008"
6373,Doradidae,Doras zuanoni,"Sabaj Pérez & Birindelli, 2008"
6374,Doradidae,Franciscodoras marmoratus,"(Lütken, 1874)"
6375,Doradidae,Hassar orestis,"(Steindachner, 1875)"
6376,Doradidae,Hassar wilderi,"Kindle, 1895"
6377,Doradidae,Hemidoras morrisi,"Eigenmann, 1925"
6378,Doradidae,Hemidoras stenopeltis,"(Kner, 1855)"
6379,Doradidae,Hypodoras forficulatus,"Eigenmann, 1925"
6380,Doradidae,Leptodoras acipenserinus,"(Günther, 1868)"
6381,Doradidae,Leptodoras cataniai,"Sabaj Pérez, 2005"
6382,Doradidae,Leptodoras copei,"(Fernández-Yépez, 1968)"
6383,Doradidae,Leptodoras hasemani,"(Steindachner, 1915)"
6384,Doradidae,Leptodoras juruensis,"Boulenger, 1898"
6385,Doradidae,Leptodoras linnelli,"Eigenmann, 1912"
6386,Doradidae,Leptodoras myersi,"Böhlke, 1970"
6387,Doradidae,Leptodoras nelsoni,"Sabaj Pérez, 2005"
6388,Doradidae,Leptodoras praelongus,"(Myers & Weitzman, 1956)"
6389,Doradidae,Leptodoras rogersae,"Sabaj Pérez, 2005"
6390,Doradidae,Lithodoras dorsalis,"(Valenciennes, 1840)"
6391,Doradidae,Megalodoras guayoensis,"(Fernández-Yépez, 1968)"
6392,Doradidae,Megalodoras uranoscopus,"(Eigenmann & Eigenmann, 1888)"
6393,Doradidae,Nemadoras cristinae,"Sabaj Pérez, Arce H., Sousa & Birindelli, 2014"
6394,Doradidae,Nemadoras elongatus,"(Boulenger, 1898)"
6395,Doradidae,Nemadoras hemipeltis,"(Eigenmann, 1925)"
6396,Doradidae,Nemadoras humeralis,"(Kner, 1855)"
6397,Doradidae,Opsodoras boulengeri,"(Steindachner, 1915)"
6398,Doradidae,Opsodoras morei,"(Steindachner, 1881)"
6399,Doradidae,Opsodoras stuebelii,"(Steindachner, 1882)"
6400,Doradidae,Orinocodoras eigenmanni,"Myers, 1927"
6401,Doradidae,Ossancora asterophysa,"Birindelli & Sabaj Pérez, 2011"
6402,Doradidae,Ossancora eigenmanni,"(Boulenger, 1895)"
6403,Doradidae,Ossancora punctata,"(Kner, 1855)"
6404,Doradidae,Oxydoras kneri,"Bleeker, 1862"
6405,Doradidae,Oxydoras niger,"(Valenciennes, 1821)"
6406,Doradidae,Oxydoras sifontesi,"Fernández-Yépez, 1968"
6407,Doradidae,Physopyxis ananas,"Sousa & Rapp Py-Daniel, 2005"
6408,Doradidae,Physopyxis cristata,"Sousa & Rapp Py-Daniel, 2005"
6409,Doradidae,Physopyxis lyra,"Cope, 1872"
6410,Doradidae,Platydoras armatulus,"(Valenciennes, 1840)"
6411,Doradidae,Platydoras costatus,"(Linnaeus, 1758)"
6412,Doradidae,Platydoras hancockii,"(Valenciennes, 1840)"
6413,Doradidae,Pterodoras granulosus,"(Valenciennes, 1821)"
6414,Doradidae,Pterodoras rivasi,"(Fernández-Yépez, 1950)"
6415,Doradidae,Rhinodoras boehlkei,"Glodek, Whitmire & Orcés V., 1976"
6416,Doradidae,Rhinodoras dorbignyi,"(Kner, 1855)"
6417,Doradidae,Rhinodoras gallagheri,"Sabaj Pérez, Taphorn & Castillo G., 2008"
6418,Doradidae,Rhynchodoras castilloi,"Birindelli, Sabaj Pérez & Taphorn, 2007"
6419,Doradidae,Rhynchodoras woodsi,"Glodek, 1976"
6420,Doradidae,Scorpiodoras calderonensis,"(Vaillant, 1880)"
6421,Doradidae,Scorpiodoras heckelii,"(Kner, 1855)"
6422,Doradidae,Scorpiodoras liophysus,"Sousa & Birindelli, 2011"
6423,Doradidae,Tenellus leporhinus,"(Eigenmann, 1912)"
6424,Doradidae,Tenellus ternetzi,"(Eigenmann, 1925)"
6425,Doradidae,Tenellus trimaculatus,"(Boulenger, 1898)"
6426,Doradidae,Trachydoras brevis,"(Kner, 1853)"
6427,Doradidae,Trachydoras gepharti,"Sabaj & Arce H., 2017"
6428,Doradidae,Trachydoras microstomus,"(Eigenmann, 1912)"
6429,Doradidae,Trachydoras nattereri,"(Steindachner, 1881)"
6430,Doradidae,Trachydoras paraguayensis,"(Eigenmann & Ward, 1907)"
6431,Doradidae,Trachydoras steindachneri,"(Perugia, 1897)"
6432,Drepaneidae,Drepane africana,"Osório, 1892"
6433,Drepaneidae,Drepane longimana,"(Bloch & Schneider, 1801)"
6434,Drepaneidae,Drepane punctata,"(Linnaeus, 1758)"
6435,Echeneidae,Echeneis naucrates,"Linnaeus, 1758"
6436,Elassomatidae,Elassoma alabamae,"Mayden, 1993"
6437,Elassomatidae,Elassoma boehlkei,"Rohde & Arndt, 1987"
6438,Elassomatidae,Elassoma okatie,"Rohde & Arndt, 1987"
6439,Elassomatidae,Elassoma zonatum,"Jordan, 1877"
6440,Eleotridae,Belobranchus belobranchus,"(Valenciennes, 1837)"
6441,Eleotridae,Bostrychus africanus,"(Steindachner, 1879)"
6442,Eleotridae,Bostrychus expatria,"(Herre, 1927)"
6443,Eleotridae,Bostrychus sinensis,"Lacepède, 1801"
6444,Eleotridae,Butis amboinensis,"(Bleeker, 1853)"
6445,Eleotridae,Butis butis,"(Hamilton, 1822)"
6446,Eleotridae,Butis humeralis,"(Valenciennes, 1837)"
6447,Eleotridae,Butis koilomatodon,"(Bleeker, 1849)"
6448,Eleotridae,Butis melanostigma,"(Bleeker, 1849)"
6449,Eleotridae,Dormitator lebretonis,"(Steindachner, 1870)"
6450,Eleotridae,Eleotris acanthopoma,"Bleeker, 1853"
6451,Eleotridae,Eleotris annobonensis,"Blanc, Cadenat & Stauch, 1968"
6452,Eleotridae,Eleotris daganensis,"Steindachner, 1870"
6453,Eleotridae,Eleotris fusca,"(Forster, 1801)"
6454,Eleotridae,Eleotris mauritiana,"Bennett, 1832"
6455,Eleotridae,Eleotris melanosoma,"Bleeker, 1853"
6456,Eleotridae,Eleotris senegalensis,"Steindachner, 1870"
6457,Eleotridae,Eleotris vittata,"Duméril, 1861"
6458,Eleotridae,Giuris margaritacea,"(Valenciennes, 1837)"
6459,Eleotridae,Hypseleotris compressa,"(Krefft, 1864)"
6460,Eleotridae,Hypseleotris compressocephalus,"(Chen, 1985)"
6461,Eleotridae,Hypseleotris kimberleyensis,"Hoese & Allen, 1982"
6462,Eleotridae,Kribia kribensis,"(Boulenger, 1907)"
6463,Eleotridae,Kribia leonensis,"(Boulenger, 1916)"
6464,Eleotridae,Kribia nana,"(Boulenger, 1901)"
6465,Eleotridae,Kribia uellensis,"(Boulenger, 1913)"
6466,Eleotridae,Kribia uellensis,"(Boulenger, 1913)"
6467,Eleotridae,Microphilypnus amazonicus,"Myers, 1927"
6468,Eleotridae,Microphilypnus macrostoma,"Myers, 1927"
6469,Eleotridae,Microphilypnus ternetzi,"Myers, 1927"
6470,Eleotridae,Mogurnda mogurnda,"(Richardson, 1844)"
6471,Eleotridae,Mogurnda oligolepis,"Allen & Jenkins, 1999"
6472,Eleotridae,Ophiocara porocephala,"(Valenciennes, 1837)"
6473,Eleotridae,Oxyeleotris aruensis,"(Weber, 1911)"
6474,Eleotridae,Oxyeleotris fimbriata,"(Weber, 1907)"
6475,Eleotridae,Oxyeleotris herwerdenii,"(Weber, 1910)"
6476,Eleotridae,Oxyeleotris marmorata,"(Bleeker, 1852)"
6477,Eleotridae,Oxyeleotris nullipora,"Roberts, 1978"
6478,Eleotridae,Oxyeleotris paucipora,"Roberts, 1978"
6479,Eleotridae,Oxyeleotris selheimi,"(Macleay, 1884)"
6480,Eleotridae,Typhleotris madagascariensis,"Petit, 1933"
6481,Eleotridae,Typhleotris mararybe,"Sparks & Chakrabarty, 2012"
6482,Eleotridae,Typhleotris pauliani,"Arnoult, 1959"
6483,Elopidae,Elops hawaiensis,"Regan, 1909"
6484,Elopidae,Elops lacerta,"Valenciennes, 1847"
6485,Elopidae,Elops machnata,"(Forsskål, 1775)"
6486,Elopidae,Elops senegalensis,"Regan, 1909"
6487,Embiotocidae,Cymatogaster aggregata,"Gibbons, 1854"
6488,Embiotocidae,Hysterocarpus traskii,"Gibbons, 1854"
6489,Engraulidae,Amazonsprattus scintilla,"Roberts, 1984"
6490,Engraulidae,Anchovia surinamensis,"(Bleeker, 1865)"
6491,Engraulidae,Anchoviella alleni,"(Myers, 1940)"
6492,Engraulidae,Anchoviella carrikeri,"Fowler, 1940"
6493,Engraulidae,Anchoviella guianensis,"(Eigenmann, 1912)"
6494,Engraulidae,Anchoviella jamesi,"(Jordan & Seale, 1926)"
6495,Engraulidae,Anchoviella juruasanga,"Loeb, 2012"
6496,Engraulidae,Anchoviella manamensis,"Cervigón, 1982"
6497,Engraulidae,Anchoviella nattereri,"(Steindachner, 1879)"
6498,Engraulidae,Anchoviella perezi,"Cervigón, 1987"
6499,Engraulidae,Anchoviella sanfranciscana,"Barbosa, Gomes da Silva, da Rocha Araújo & Carvalho, 2017"
6500,Engraulidae,Anchoviella vaillanti,"(Steindachner, 1908)"
6501,Engraulidae,Coilia brachygnathus,"Kreyenberg & Pappenheim, 1908"
6502,Engraulidae,Coilia lindmani,"Bleeker, 1857"
6503,Engraulidae,Coilia macrognathos,"Bleeker, 1852"
6504,Engraulidae,Coilia mystus,"(Linnaeus, 1758)"
6505,Engraulidae,Coilia nasus,"Temminck & Schlegel, 1846"
6506,Engraulidae,Engraulis encrasicolus,"(Linnaeus, 1758)"
6507,Engraulidae,Engraulis japonicus,"Temminck & Schlegel, 1846"
6508,Engraulidae,Jurengraulis juruensis,"(Boulenger, 1898)"
6509,Engraulidae,Lycengraulis batesii,"(Günther, 1868)"
6510,Engraulidae,Lycengraulis figueiredoi,"Loeb & Alcântara, 2013"
6511,Engraulidae,Lycengraulis grossidens,"(Spix & Agassiz, 1829)"
6512,Engraulidae,Lycothrissa crocodilus,"(Bleeker, 1850)"
6513,Engraulidae,Pterengraulis atherinoides,"(Linnaeus, 1766)"
6514,Engraulidae,Setipinna brevifilis,"(Valenciennes, 1848)"
6515,Engraulidae,Setipinna melanochir,"(Bleeker, 1849)"
6516,Engraulidae,Setipinna phasa,"(Hamilton, 1822)"
6517,Engraulidae,Stolephorus chinensis,"(Günther, 1880)"
6518,Engraulidae,Stolephorus commersonnii,"Lacepède, 1803"
6519,Engraulidae,Stolephorus indicus,"(van Hasselt, 1823)"
6520,Engraulidae,Stolephorus insularis,"Hardenberg, 1933"
6521,Engraulidae,Thryssa chefuensis,"(Günther, 1874)"
6522,Engraulidae,Thryssa hamiltonii,"Gray, 1835"
6523,Engraulidae,Thryssa scratchleyi,"(Ramsay & Ogilby, 1886)"
6524,Engraulidae,Thryssa setirostris,"(Broussonet, 1782)"
6525,Engraulidae,Thryssa vitrirostris,"(Gilchrist & Thompson, 1908)"
6526,Ephippidae,Platax pinnatus,"(Linnaeus, 1758)"
6527,Ephippidae,Platax teira,"(Forsskål, 1775)"
6528,Erethistidae,Ayarnangra estuarius,"Roberts, 2001"
6529,Erethistidae,Caelatoglanis zonatus,"Ng & Kottelat, 2005"
6530,Erethistidae,Conta pectinata,"Ng, 2005"
6531,Erethistidae,Erethistes pusillus,"Müller & Troschel, 1849"
6532,Erethistidae,Erethistoides infuscatus,"Ng, 2006"
6533,Erethistidae,Erethistoides longispinis,"Ng, Ferraris & Neely, 2012"
6534,Erethistidae,Hara filamentosa,"Blyth, 1860"
6535,Erethistidae,Hara hara,"(Hamilton, 1822)"
6536,Erethistidae,Pseudolaguvia assula,"Ng & Conway, 2013"
6537,Erethistidae,Pseudolaguvia ferruginea,"Ng, 2009"
6538,Erethistidae,Pseudolaguvia flavida,"Ng, 2009"
6539,Erethistidae,Pseudolaguvia foveolata,"Ng, 2005"
6540,Erethistidae,Pseudolaguvia muricata,"Ng, 2005"
6541,Erethistidae,Pseudolaguvia shawi,"(Hora, 1921)"
6542,Erethistidae,Pseudolaguvia viriosa,"Ng & Tamang, 2012"
6543,Erythrinidae,Erythrinus erythrinus,"(Bloch & Schneider, 1801)"
6544,Erythrinidae,Hoplerythrinus unitaeniatus,"(Spix & Agassiz, 1829)"
6545,Erythrinidae,Hoplias aimara,"(Valenciennes, 1847)"
6546,Erythrinidae,Hoplias australis,"Oyakawa & Mattox, 2009"
6547,Erythrinidae,Hoplias curupira,"Oyakawa & Mattox, 2009"
6548,Erythrinidae,Hoplias intermedius,"(Günther, 1864)"
6549,Erythrinidae,Hoplias lacerdae,"Miranda Ribeiro, 1908"
6550,Erythrinidae,Hoplias macrophthalmus,"(Pellegrin, 1907)"
6551,Erythrinidae,Hoplias malabaricus,"(Bloch, 1794)"
6552,Erythrinidae,Hoplias mbigua,"Azpelicueta, Benítez, Aichino & Mendez, 2015"
6553,Erythrinidae,Hoplias microcephalus,"(Agassiz, 1829)"
6554,Esocidae,Esox americanus,"Gmelin, 1789"
6555,Esocidae,Esox lucius,"Linnaeus, 1758"
6556,Esocidae,Esox masquinongy,"Mitchill, 1824"
6557,Esocidae,Esox niger,"Lesueur, 1818"
6558,Esocidae,Esox reichertii,"Dybowski, 1869"
6559,Exocoetidae,Cheilopogon cyanopterus,"(Valenciennes, 1847)"
6560,Exocoetidae,Cheilopogon milleri,"(Gibbs & Staiger, 1970)"
6561,Fundulidae,Fundulus bifax,"Cashner & Rogers, 1988"
6562,Fundulidae,Fundulus catenatus,"(Storer, 1846)"
6563,Fundulidae,Fundulus chrysotus,"(Günther, 1866)"
6564,Fundulidae,Fundulus diaphanus,"(Lesueur, 1817)"
6565,Fundulidae,Fundulus dispar,"(Agassiz, 1854)"
6566,Fundulidae,Fundulus euryzonus,"Suttkus & Cashner, 1981"
6567,Fundulidae,Fundulus grandissimus,"Hubbs, 1936"
6568,Fundulidae,Fundulus julisia,"Williams & Etnier, 1982"
6569,Fundulidae,Fundulus kansae,"Garman, 1895"
6570,Fundulidae,Fundulus lima,"Vaillant, 1894"
6571,Fundulidae,Fundulus notatus,"(Rafinesque, 1820)"
6572,Fundulidae,Fundulus olivaceus,"(Storer, 1845)"
6573,Fundulidae,Fundulus persimilis,"Miller, 1955"
6574,Fundulidae,Fundulus sciadicus,"Cope, 1865"
6575,Fundulidae,Fundulus sciadicus,"Cope, 1865"
6576,Fundulidae,Fundulus stellifer,"(Jordan, 1877)"
6577,Fundulidae,Fundulus waccamensis,"Hubbs & Raney, 1946"
6578,Fundulidae,Fundulus zebrinus,"Jordan & Gilbert, 1883"
6579,Fundulidae,Lucania interioris,"Hubbs & Miller, 1965"
6580,Gadidae,Eleginus gracilis,"(Tilesius, 1810)"
6581,Gadidae,Pollachius pollachius,"(Linnaeus, 1758)"
6582,Gadidae,Trisopterus luscus,"(Linnaeus, 1758)"
6583,Galaxiidae,Galaxias fuscus,"Mack, 1936"
6584,Galaxiidae,Galaxias rostratus,"Klunzinger, 1872"
6585,Galaxiidae,Galaxias zebratus,"(Castelnau, 1861)"
6586,Gasteropelecidae,Carnegiella marthae,"Myers, 1927"
6587,Gasteropelecidae,Carnegiella myersi,"Fernández-Yépez, 1950"
6588,Gasteropelecidae,Carnegiella schereri,"Fernández-Yépez, 1950"
6589,Gasteropelecidae,Carnegiella strigata,"(Günther, 1864)"
6590,Gasteropelecidae,Gasteropelecus levis,"(Eigenmann, 1909)"
6591,Gasteropelecidae,Gasteropelecus maculatus,"Steindachner, 1879"
6592,Gasteropelecidae,Gasteropelecus sternicla,"(Linnaeus, 1758)"
6593,Gasteropelecidae,Thoracocharax securis,"(De Filippi, 1853)"
6594,Gasteropelecidae,Thoracocharax stellatus,"(Kner, 1858)"
6595,Gasterosteidae,Culaea inconstans,"(Kirtland, 1840)"
6596,Gasterosteidae,Gasterosteus aculeatus,"Linnaeus, 1758"
6597,Gasterosteidae,Gasterosteus microcephalus,"Girard, 1854"
6598,Gasterosteidae,Pungitius bussei,"(Warpachowski, 1888)"
6599,Gasterosteidae,Pungitius hellenicus,"Stephanidis, 1971"
6600,Gasterosteidae,Pungitius laevis,"(Cuvier, 1829)"
6601,Gasterosteidae,Pungitius platygaster,"(Kessler, 1859)"
6602,Gasterosteidae,Pungitius pungitius,"(Linnaeus, 1758)"
6603,Gasterosteidae,Pungitius sinensis,"(Guichenot, 1869)"
6604,Gasterosteidae,Pungitius tymensis,"(Nikolskii, 1889)"
6605,Gastromyzontidae,Beaufortia cyclica,"Chen, 1980"
6606,Gastromyzontidae,Beaufortia huangguoshuensis,"Zheng & Zhang, 1987"
6607,Gastromyzontidae,Beaufortia kweichowensis,"(Fang, 1931)"
6608,Gastromyzontidae,Beaufortia leveretti,"(Nichols & Pope, 1927)"
6609,Gastromyzontidae,Beaufortia liui,"Chang, 1944"
6610,Gastromyzontidae,Beaufortia niulanensis,"Chen, Huang & Yang, 2009"
6611,Gastromyzontidae,Beaufortia pingi,"(Fang, 1930)"
6612,Gastromyzontidae,Beaufortia polylepis,"Chen, 1982"
6613,Gastromyzontidae,Beaufortia szechuanensis,"(Fang, 1930)"
6614,Gerreidae,Eucinostomus melanopterus,"(Bleeker, 1863)"
6615,Gerreidae,Gerres erythrourus,"(Bloch, 1791)"
6616,Gerreidae,Gerres filamentosus,"Cuvier, 1829"
6617,Gerreidae,Gerres japonicus,"Bleeker, 1854"
6618,Gerreidae,Gerres limbatus,"Cuvier, 1830"
6619,Gerreidae,Gerres macracanthus,"Bleeker, 1854"
6620,Gerreidae,Gerres nigri,"Günther, 1859"
6621,Gerreidae,Gerres oyena,"(Forsskål, 1775)"
6622,Gobiesocidae,Gobiesox fluviatilis,"Briggs & Miller, 1960"
6623,Gobiesocidae,Gobiesox juniperoserrai,"Espinosa Pérez & Castro-Aguirre, 1996"
6624,Gobiesocidae,Gobiesox mexicanus,"Briggs & Miller, 1960"
6625,Gobiidae,Acanthogobius flavimanus,"(Temminck & Schlegel, 1845)"
6626,Gobiidae,Acanthogobius hasta,"(Temminck & Schlegel, 1845)"
6627,Gobiidae,Acanthogobius lactipes,"(Hilgendorf, 1879)"
6628,Gobiidae,Acanthogobius luridus,"Ni & Wu, 1985"
6629,Gobiidae,Acentrogobius caninus,"(Valenciennes, 1837)"
6630,Gobiidae,Acentrogobius chlorostigmatoides,"(Bleeker, 1849)"
6631,Gobiidae,Acentrogobius dayi,"Koumans, 1941"
6632,Gobiidae,Acentrogobius janthinopterus,"(Bleeker, 1853)"
6633,Gobiidae,Acentrogobius moloanus,"(Herre, 1927)"
6634,Gobiidae,Acentrogobius nebulosus,"(Forsskål, 1775)"
6635,Gobiidae,Acentrogobius simplex,"(Sauvage, 1880)"
6636,Gobiidae,Acentrogobius viganensis,"(Steindachner, 1893)"
6637,Gobiidae,Acentrogobius viridipunctatus,"(Valenciennes, 1837)"
6638,Gobiidae,Anatirostrum profundorum,"(Berg, 1927)"
6639,Gobiidae,Aphia minuta,"(Risso, 1810)"
6640,Gobiidae,Apocryptodon madurensis,"(Bleeker, 1849)"
6641,Gobiidae,Arcygobius baliurus,"(Valenciennes, 1837)"
6642,Gobiidae,Awaous aeneofuscus,"(Peters, 1852)"
6643,Gobiidae,Awaous bustamantei,"(Greeff, 1882)"
6644,Gobiidae,Awaous flavus,"(Valenciennes, 1837)"
6645,Gobiidae,Awaous grammepomus,"(Bleeker, 1849)"
6646,Gobiidae,Awaous lateristriga,"(Duméril, 1861)"
6647,Gobiidae,Awaous melanocephalus,"(Bleeker, 1849)"
6648,Gobiidae,Awaous ocellaris,"(Broussonet, 1782)"
6649,Gobiidae,Babka gymnotrachelus,"(Kessler, 1857)"
6650,Gobiidae,Bathygobius casamancus,"(Rochebrune, 1880)"
6651,Gobiidae,Bathygobius cyclopterus,"(Valenciennes, 1837)"
6652,Gobiidae,Bathygobius fuscus,"(Rüppell, 1830)"
6653,Gobiidae,Bathygobius hongkongensis,"Lam, 1986"
6654,Gobiidae,Bathygobius soporator,"(Valenciennes, 1837)"
6655,Gobiidae,Benthophiloides brauneri,"Beling & Iljin, 1927"
6656,Gobiidae,Benthophiloides turcomanus,"(Iljin, 1941)"
6657,Gobiidae,Benthophilus baeri,"Kessler, 1877"
6658,Gobiidae,Benthophilus casachicus,"Ragimov, 1978"
6659,Gobiidae,Benthophilus ctenolepidus,"Kessler, 1877"
6660,Gobiidae,Benthophilus durrelli,"Boldyrev & Bogutskaya, 2004"
6661,Gobiidae,Benthophilus granulosus,"Kessler, 1877"
6662,Gobiidae,Benthophilus kessleri,"Berg, 1927"
6663,Gobiidae,Benthophilus leobergius,"Berg, 1949"
6664,Gobiidae,Benthophilus leptocephalus,"Kessler, 1877"
6665,Gobiidae,Benthophilus leptorhynchus,"Kessler, 1877"
6666,Gobiidae,Benthophilus macrocephalus,"(Pallas, 1787)"
6667,Gobiidae,Benthophilus magistri,"Iljin, 1927"
6668,Gobiidae,Benthophilus mahmudbejovi,"Ragimov, 1976"
6669,Gobiidae,Benthophilus nudus,"Berg, 1898"
6670,Gobiidae,Benthophilus ragimovi,"Boldyrev & Bogutskaya, 2004"
6671,Gobiidae,Benthophilus spinosus,"Kessler, 1877"
6672,Gobiidae,Benthophilus stellatus,"(Sauvage, 1874)"
6673,Gobiidae,Benthophilus svetovidovi,"Pinchuk & Ragimov, 1979"
6674,Gobiidae,Boleophthalmus boddarti,"(Pallas, 1770)"
6675,Gobiidae,Boleophthalmus dussumieri,"Valenciennes, 1837"
6676,Gobiidae,Boleophthalmus pectinirostris,"(Linnaeus, 1758)"
6677,Gobiidae,Brachygobius aggregatus,"Herre, 1940"
6678,Gobiidae,Brachygobius kabiliensis,"Inger, 1958"
6679,Gobiidae,Brachygobius mekongensis,"Larson & Vidthayanon, 2000"
6680,Gobiidae,Brachygobius sua,"(Smith, 1931)"
6681,Gobiidae,Caragobius urolepis,"(Bleeker, 1852)"
6682,Gobiidae,Caspiosoma caspium,"(Kessler, 1877)"
6683,Gobiidae,Cryptocentrus yatsui,"Tomiyama, 1936"
6684,Gobiidae,Ctenogobius lepturus,"(Pfaff, 1933)"
6685,Gobiidae,Ctenogobius thoropsis,"(Pezold & Gilbert, 1987)"
6686,Gobiidae,Ctenogobius vexillifer,"Fowler, 1937"
6687,Gobiidae,Drombus triangularis,"(Weber, 1909)"
6688,Gobiidae,Ebomegobius goodi,"Herre, 1946"
6689,Gobiidae,Eugnathogobius kabilia,"(Herre, 1940)"
6690,Gobiidae,Eugnathogobius siamensis,"(Fowler, 1934)"
6691,Gobiidae,Exyrias puntang,"(Bleeker, 1851)"
6692,Gobiidae,Exyrias volcanus,"(Herre, 1927)"
6693,Gobiidae,Favonigobius aliciae,"(Herre, 1936)"
6694,Gobiidae,Favonigobius gymnauchen,"(Bleeker, 1860)"
6695,Gobiidae,Favonigobius melanobranchus,"(Fowler, 1934)"
6696,Gobiidae,Favonigobius reichei,"(Bleeker, 1854)"
6697,Gobiidae,Glossogobius aureus,"Akihito & Meguro, 1975"
6698,Gobiidae,Glossogobius bicirrhosus,"(Weber, 1894)"
6699,Gobiidae,Glossogobius callidus,"(Smith, 1937)"
6700,Gobiidae,Glossogobius celebius,"(Valenciennes, 1837)"
6701,Gobiidae,Glossogobius circumspectus,"(Macleay, 1883)"
6702,Gobiidae,Glossogobius giuris,"(Hamilton, 1822)"
6703,Gobiidae,Glossogobius kokius,"(Valenciennes, 1837)"
6704,Gobiidae,Glossogobius koragensis,"Herre, 1935"
6705,Gobiidae,Glossogobius obscuripinnis,"(Peters, 1868)"
6706,Gobiidae,Glossogobius olivaceus,"(Temminck & Schlegel, 1845)"
6707,Gobiidae,Glossogobius pumilus,"Hoese, Allen & Hadiaty, 2017"
6708,Gobiidae,Glossogobius sparsipapillus,"Akihito & Meguro, 1976"
