"","prey_taxon","prey_stage","prey_kingdom","prey_class","prey_order","prey_family","prey_species","prey_taxon_cleaned","prey_phylum","prey_superclass","prey_subclass","prey_subphylum","prey_type","prey_origin"
"455","chironomid_pupae","pupae","Animalia","Insecta","Diptera","Chironomidae",NA,"Chironomidae","Arthropoda",NA,NA,NA,NA,"aquatic"
"456","neureclipsis","unknown","Metazoa","Insecta","Trichoptera","Polycentropodidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"457","isomychia","unknown","Metazoa","Insecta","Ephemeroptera","Ephemerellidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"458","aquatic_insects","unknown","Animalia","Insecta",NA,NA,NA,"Insecta",NA,NA,NA,NA,NA,"aquatic"
"459","hymenoptera_terrestrial","unknown","Metazoa","Insecta","Hymenoptera",NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial"
"460","sand_silt","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","aquatic or terrestrial"
"461","fragilaria_sp_5_400_<U+00B5>m","unknown","Chromista","Fragilariophyceae","Fragilariales","Fragilariaceae","Fragiliaria",NA,"Ochrophyta",NA,NA,NA,NA,"aquatic"
"462","crustacean","unknown","Animalia",NA,NA,NA,NA,"Crustacean","Arthropoda",NA,NA,"Crustacea",NA,"aquatic"
"463","cestoda","unknown","Metazoa","Cestoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"464","large_ostracoda","unknown","Animalia","Ostracoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"465","zygoptera_larvae","larvae","Metazoa","Insecta","Odonata",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"466","small_ostracoda","unknown","Metazoa","Ostracoda",NA,"Anelloviridae","Small anellovirus",NA,NA,NA,NA,NA,NA,"aquatic"
"467","gastropods","unknown","Metazoa","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"468","gastropod_eggs","eggs","Animalia","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"469","haplotaxid_oligochaetes","unknown","Animalia","Clitellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"470","harpacticoid_copepods","unknown","Animalia","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"471","ostracods","unknown","Animalia","Ostracoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"472","cladocerans","unknown","Animalia","Branchiopoda","Cladocera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"473","plant_seed","unknown","Plantae",NA,NA,NA,"Plant DNA excision vector pX6-GFP","Plantae",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"474","higher_plants","unknown","Viridiplantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"475","araneae","unknown","Metazoa","Arachnida","Araneae",NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial"
"476","insect_eggs","eggs","Animalia","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Insect BA phytoplasma","Insecta","Tenericutes",NA,NA,NA,NA,"aquatic or terrestrial"
"477","thhysamoptera_adults","adults","Animalia","Insecta","Thysanoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"478","hemiptera_adults","adults","Metazoa","Insecta","Hemiptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"479","coleoptera_adults_41","adults","Metazoa","Insecta","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"480","hymenoptera_adults","adults","Metazoa","Insecta","Hymenoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"481","chironoinicl_larvae","larvae","Animalia","Insecta","Diptera","Chironomidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"482","elmid_larvae","larvae","Animalia","Insecta","Coleoptera","Elmidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"483","coleoptera_adults_48","adults","Metazoa","Insecta","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"484","insect_fragment","unknown","Animalia","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Insect BA phytoplasma","Insecta","Tenericutes",NA,NA,NA,NA,"aquatic or terrestrial"
"485","formicidae","unknown","Metazoa","Insecta","Hymenoptera","Formicidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"terrestrial"
"486","vespidae","unknown","Metazoa","Insecta","Hymenoptera","Vespidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"terrestrial"
"487","naucoridae","unknown","Metazoa","Insecta","Hemiptera","Naucoridae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"488","notonectidae","unknown","Metazoa","Insecta","Hemiptera","Notonectidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"489","mesovelidae","unknown","Animalia","Insecta","Hemiptera","Mesoveliidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"490","unidentifiable_vegetal_matter","unknown","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"491","seed","unknown","Plantae",NA,NA,NA,NA,"Plantae",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"492","argulus","unknown","Metazoa","Ichthyostraca","Arguloida","Argulidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"493","hydracarinae","unknown","Animalia","Arachnida","Trombidiformes","Arrenuridae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"494","digested_matter","unknown","Metazoa","Clitellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"495","fish_remaining","unknown","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"496","arthropod_fragment","unknown","Animalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"497","algae_unicell_filament","unknown","Plantae",NA,NA,NA,NA,"Plantae",NA,NA,NA,NA,NA,"aquatic"
"498","vegetal_matter","unknown","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"499","bacillariophyceae","unknown","Chromista","Bacillariophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"500","teleost_invertebrate_eggs","eggs","Animalia",NA,NA,NA,NA,"Arthropods",NA,NA,NA,NA,NA,"aquatic"
"501","teleost","unknown","Animalia","Actinopterygii",NA,NA,NA,NA,"Chordata","Osteichthyes",NA,NA,NA,"aquatic"
"502","organic_matter_not_identified","unknown",NA,NA,NA,NA,"Organic Lake virophage",NA,NA,NA,NA,NA,"detritus","aquatic or terrestrial"
"503","silt_biofilm","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus","aquatic or terrestrial"
"504","diaphanosoma_exisum","unknown","Metazoa","Branchiopoda","Diplostraca","Sididae","Diaphanosoma excisum",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"505","thermocyclops_equatorialis","unknown","Metazoa","Hexanauplia","Cyclopoida","Cyclopidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"506","mollusea_gastropodes","unknown","Animalia","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"507","anisopteran_larvae","larvae","Animalia","Insecta","Odonata",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"508","zygopteran_larvae","larvae","Animalia","Insecta","Odonata",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"509","stratiomydae","unknown","Animalia","Insecta","Diptera","Stratiomyidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"510","simulidae","unknown","Animalia","Insecta","Diptera","Simuliidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"511","cyclorrhapha","unknown","Metazoa","Insecta","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"512","hydrophilidae","unknown","Metazoa","Insecta","Coleoptera","Hydrophilidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"513","corixdae","unknown","Animalia","Insecta","Hemiptera","Corixidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"514","macrophytes_shoots_and_roots","unknown","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"515","pisces","unknown","Animalia","Actinopterygii",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"516","oreochromis_niloticus","unknown","Metazoa","Actinopterygii","Cichliformes","Cichlidae","Oreochromis niloticus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"517","aptocheilichthyes_sp","unknown","Animalia","Actinopterygii","Cyprinodontiformes","Poeciliidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"518","thermocyclopes_equatorialis","unknown","Animalia","Hexanauplia","Cyclopoida","Cyclopidae","Thermocyclops equatorialis",NA,"Arthropoda",NA,"Copepoda","Crustacea",NA,"aquatic"
"519","acrididae","unknown","Metazoa","Insecta","Orthoptera","Acrididae",NA,NA,"Arthropoda",NA,NA,NA,NA,"terrestrial"
"520","garra_sp","unknown","Metazoa","Actinopterygii","Cypriniformes","Cyprinidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"521","barbus_sp","unknown","Metazoa","Actinopterygii","Cypriniformes","Cyprinidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"522","clarias_gariepinus","unknown","Metazoa","Actinopterygii","Siluriformes","Clariidae","Clarias gariepinus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"523","copepod","unknown","Animalia","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"524","rotifer","unknown","Animalia",NA,"Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial"
"525","diatom","unknown","Chromista","Bacillariophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"526","dinoflagellate","unknown","Chromista","Dinophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"527","clams","unknown","Animalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"528","worms","unknown","Animalia","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"529","sand_grains","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand","aquatic or terrestrial"
"530","insect_parts","unknown","Animalia","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Insect BA phytoplasma","Insecta","Tenericutes",NA,NA,NA,NA,"aquatic or terrestrial"
"531","Gambusia affinis","unknown","Animalia","Teleostei","Cyprinodontiformes","Poeciliidae","Gambusia affinis",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"532","Ameiurus natalis","unknown","Animalia","Teleostei","Siluriformes","Ictaluridae","Ameiurus natalis",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"533","Ictalurus furcatus","unknown","Animalia","Teleostei","Siluriformes","Ictaluridae","Ictalurus furcatus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"534","Ictalurus spp.","unknown","Animalia","Actinopterygii","Siluriformes","Ictaluridae","Ictalurus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"535","Pylodictis olivaris","unknown","Animalia","Teleostei","Siluriformes","Ictaluridae","Pylodictis olivaris",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"536","Cyprinella lutrensis","unknown","Animalia","Teleostei","Cypriniformes","Cyprinidae","Cyprinella lutrensis",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"537","Cyprinella venusta","unknown","Animalia","Teleostei","Cypriniformes","Cyprinidae","Cyprinella venusta",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"538","Notropis buchanani","unknown","Animalia","Teleostei","Cypriniformes","Cyprinidae","Notropis buchanani",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"539","Notropis shumardi","unknown","Animalia","Teleostei","Cypriniformes","Cyprinidae","Notropis shumardi",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"540","Cyprinidae","unknown","Animalia","Teleostei","Cypriniformes","Cyprinidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"541","Carpoides carpio","unknown","Animalia","Actinopterygii","Cypriniformes","Catostomidae","Carpiodes carpio",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"542","Lepisosteus spp.","unknown","Animalia","Actinopterygii","Lepisosteiformes","Lepisosteidae","Lepisosteus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"543","Percidae","unknown","Animalia","Teleostei","Perciformes","Percidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"544","Percina sciera","unknown","Animalia","Teleostei","Perciformes","Percidae","Percina sciera",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"545","Percina spp.","unknown","Animalia","Actinopterygii","Perciformes","Percidae","Percina",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"546","Atherinopsidae","unknown","Animalia","Teleostei","Atheriniformes","Atherinopsidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"547","Menidia beryllina","unknown","Animalia","Teleostei","Atheriniformes","Atherinopsidae","Menidia beryllina",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"548","Ephemoroptera","larvae","Animalia","Insecta","Ephemeroptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"549","Macrobranchium","unknown","Animalia","Malacostraca","Decapoda","Palaemonida","Macrobrachium",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"550","Odonata Anisoptera","larvae","Animalia","Insecta","Odonata",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"551","Hymenoptera","unknown","Animalia","Insecta","Hymenoptera",NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial"
"552","Lepidoptera","unknown","Animalia","Insecta","Lepidoptera",NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial"
"553","Amphibia Anura","unknown","Animalia","Amphibia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"554","Rodentia","unknown","Animalia","Mammalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial"
"555","Lepomis humilis","unknown","Animalia","Teleostei","Perciformes","Centrarchidae","Lepomis humilis",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"556","Lepomis megalotis","unknown","Animalia","Teleostei","Perciformes","Centrarchidae","Lepomis megalotis",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"557","Cyprinus carpio","unknown","Animalia","Teleostei","Cypriniformes","Cyprinidae","Cyprinus carpio",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"558","Ictiobus bubalus","unknown","Animalia","Teleostei","Cypriniformes","Catostomidae","Ictiobus bubalus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"559","Diptera Tipulidae","unknown","Animalia","Insecta","Diptera",NA,NA,"Diptera",NA,NA,NA,NA,NA,"aquatic or terrestrial"
"560","Dorosoma pEtenense","unknown","Animalia","Teleostei","Clupeiformes","Clupeidae","Dorosoma petenense",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"561","Lepomis cyanellus","unknown","Animalia","Teleostei","Perciformes","Centrarchidae","Lepomis cyanellus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"562","Lepomis gulosus","unknown","Animalia","Teleostei","Perciformes","Centrarchidae","Lepomis gulosus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"563","Lepomis spp.","unknown","Animalia","Actinopterygii","Perciformes","Centrarchidae","Lepomis",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"564","Centrarchidae","unknown","Animalia","Teleostei","Perciformes","Centrarchidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"565","Ameiurus melas","unknown","Animalia","Teleostei","Siluriformes","Ictaluridae","Ameiurus melas",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"566","Ictaluridae","unknown","Animalia","Teleostei","Siluriformes","Ictaluridae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"567","Pimephales vigilax","unknown","Animalia","Teleostei","Cypriniformes","Cyprinidae","Pimephales vigilax",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"568","Cambaridae","unknown","Animalia","Malacostraca","Decapoda","Cambaridae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"569","Palaemonidae","unknown","Animalia","Malacostraca","Decapoda","Palaemonidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"570","Orthoptera","unknown","Animalia","Insecta","Orthoptera",NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial"
"571","Dorosoma cepedianum","unknown","Animalia","Teleostei","Clupeiformes","Clupeidae","Dorosoma cepedianum",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"572","Dorosoma spp.","unknown","Animalia","Actinopterygii","Clupeiformes","Cluepidae","Dorosoma",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"573","Pomoxis annularis","unknown","Animalia","Teleostei","Perciformes","Centrarchidae","Pomoxis annularis",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"574","Ictalurus punctatus","unknown","Animalia","Teleostei","Siluriformes","Ictaluridae","Ictalurus punctatus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"575","Cheumatopsyche","unknown","Metazoa","Insecta","Trichoptera","Hydropsychidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"576","Ephoron","unknown","Metazoa","Insecta","Ephemeroptera","Polymitarcyidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"577","Heptageniidae","unknown","Metazoa","Insecta","Ephemeroptera","Heptageniidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"578","Muscidae","unknown","Metazoa","Insecta","Diptera","Muscidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"579","Crambidae","unknown","Metazoa","Insecta","Lepidoptera","Crambidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"terrestrial"
"580","Amphipoda","unknown","Animalia","Malacostraca",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"581","Brachycentrus","unknown","Metazoa","Insecta","Trichoptera","Hydropsychidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"582","Leucrocuta","unknown","Metazoa","Insecta","Ephemeroptera","Polymitarcyidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"583","Polymitarcyidae","unknown","Metazoa","Insecta","Ephemeroptera","Heptageniidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"584","Araneae","unknown","Animalia","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"585","Ametropus","unknown","Metazoa","Insecta","Ephemeroptera","Ametropodidae","Ametropus sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"586","Cercobrachys","unknown","Metazoa","Insecta","Lepidoptera","Crambidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"terrestrial"
"587","Stylurus","unknown","Metazoa","Insecta","Trichoptera","Brachycentridae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"588","Curculionidae","unknown","Metazoa","Insecta","Ephemeroptera","Heptageniidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"589","Coptotomus","unknown","Metazoa","Insecta","Ephemeroptera","Polymitarcyidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"590","Traverella","unknown","Metazoa","Insecta","Ephemeroptera","Ametropodidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"591","Ormosia","unknown","Metazoa","Insecta","Ephemeroptera","Caenidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"592","Hagenius","unknown","Metazoa","Insecta","Odonata","Gomphidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"593","Hydropsychidae","unknown","Metazoa","Insecta","Trichoptera","Hydropsychidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"594","Leptoceridae","unknown","Animalia","Insecta","Trichoptera","Leptoceridae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"595","Calanoida","unknown","Animalia","Hexanauplia","Calanoida",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"596","Corixidae","unknown","Animalia","Insecta","Hemiptera","Corixidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"597","Hyalella","unknown","Metazoa","Insecta","Ephemeroptera","Leptophlebiidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"598","Homoneuria","unknown","Animalia","Insecta","Diptera","Lauxaniidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"terrestrial"
"599","Tipula","unknown","Metazoa","Insecta","Odonata","Gomphidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"600","Dolichopodidae","unknown","Metazoa","Insecta","Trichoptera","Hydropsychidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"601","Lachlania","unknown","Metazoa","Hexanauplia","Calanoida",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"602","Perlodidae","unknown","Metazoa","Malacostraca","Amphipoda","Hyalellidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"603","Tipulidae","unknown","Animalia","Insecta","Diptera","Tipulidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"604","Notropis","unknown","Metazoa","Actinopterygii","Cypriniformes","Cyprinidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"605","Ictalurus","unknown","Metazoa","Actinopterygii","Siluriformes","Ictaluridae","Ictalurus sp.",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"606","Macrhybopsis spp.","unknown","Metazoa","Insecta","Diptera","Dolichopodidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"607","Scaphirhynchus","unknown","Metazoa","Insecta","Ephemeroptera","Oligoneuriidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"608","Culicoides","unknown","Metazoa","Insecta","Plecoptera","Perlodidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"609","Hesperocorixa","unknown","Metazoa","Actinopterygii","Cypriniformes","Cyprinidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"610","Gomphidae","unknown","Metazoa","Actinopterygii","Siluriformes","Ictaluridae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"611","Caenidae","unknown","Metazoa","Actinopterygii","Cypriniformes","Cyprinidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"612","Polycentropodidae","unknown","Animalia","Insecta","Trichoptera","Polycentropodidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"613","Dytiscidae","unknown","Animalia","Insecta","Coleoptera","Dytiscidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"614","Baetidae","unknown","Animalia","Insecta","Ephemeroptera","Baetidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"615","Leptohyphidae","unknown","Metazoa","Actinopterygii","Acipenseriformes","Acipenseridae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"616","Nigronia","unknown","Metazoa","Insecta","Megaloptera","Corydalidae","Nigronia sp.",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"617","Heteroceridae","unknown","Metazoa","Insecta","Hemiptera","Corixidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"618","Rhithrogena","unknown","Metazoa","Insecta","Odonata","Gomphidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"619","Arctoconopa","unknown","Metazoa","Insecta","Ephemeroptera","Caenidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"620","Tricorythodes","unknown","Metazoa","Insecta","Ephemeroptera","Leptohyphidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"621","Branchiura","unknown","Metazoa","Insecta","Megaloptera","Corydalidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"622","Unknown Fish","unknown","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"623","Maccaffertium","unknown","Metazoa","Insecta","Ephemeroptera","Heptageniidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"624","Dromogomphus","unknown","Metazoa","Insecta","Odonata","Gomphidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"625","Fish Eggs","eggs","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
"626","Ephemerellidae","unknown","Metazoa","Insecta","Ephemeroptera","Leptohyphidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"627","Heptagenia","unknown","Metazoa","Insecta","Ephemeroptera","Heptageniidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"628","Glossosoma","unknown","Metazoa","Insecta","Trichoptera","Glossosomatidae","unidentified",NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"629","Nematoda","unknown","Animalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic or terrestrial"
"630","Ephemerella","unknown","Metazoa","Insecta","Ephemeroptera","Heptageniidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"631","Baetis","unknown","Metazoa","Insecta","Odonata","Gomphidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"632","Tanypodinae","unknown","Animalia","Insecta","Diptera","Chironomidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"633","Isonychia","unknown","Metazoa","Insecta","Ephemeroptera","Ephemerellidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"634","Stenelmis","unknown","Metazoa","Insecta","Ephemeroptera","Heptageniidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"635","Probezzia","unknown","Metazoa","Insecta","Trichoptera","Glossosomatidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"636","Chironomidae","pupae","Animalia","Insecta","Diptera","Chironomidae",NA,"Chironomidae","Arthropoda",NA,NA,NA,NA,"aquatic"
"637","Empididae","unknown","Metazoa","Insecta","Ephemeroptera","Ephemerellidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"638","Scaphirhynchusspp.","unknown","Metazoa","Insecta","Ephemeroptera","Baetidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"639","Copepoda","unknown","Animalia","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"640","Cyclopoida","unknown","Metazoa","Insecta","Ephemeroptera","Isonychiidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"641","Planorbidae","unknown","Metazoa","Insecta","Coleoptera","Elmidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"642","Noturusflavus","unknown","Metazoa","Actinopterygii","Siluriformes","Ictaluridae","Noturus flavus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"643","Ictaluruspunctatus","unknown","Metazoa","Insecta","Diptera","Empididae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"644","UnknownFish","unknown","Animalia","Actinopterygii",NA,NA,NA,"Actinopterygii",NA,NA,NA,NA,NA,"aquatic"
