"","prey_taxon","prey_stage","prey_kingdom","prey_class","prey_order","prey_family","prey_species","prey_taxon_cleaned","prey_phylum","prey_superclass","prey_subclass","prey_subphylum","prey_type","prey_origin"
"2111","aquatic vegetation","unknown","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aquatic"
"2112","corbiculidae","unknown","Animalia","Bivalvia","Veneroida","Corbiculidae",NA,NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"2113","unionidae","unknown","Animalia","Bivalvia","Unionoida","Unionidae",NA,NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"2114","cyprinidae","unknown","Animalia","Teleostei","Cypriniformes","Cyprinidae",NA,NA,"Chordata",NA,NA,NA,NA,"aquatic"
"2115","cambaridae","unknown","Animalia","Malacostraca","Decapoda","Cambaridae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2116","caenidae","unknown","Animalia","Insecta","Ephemeroptera","Caenidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2117","polymitarcyidae","unknown","Animalia","Insecta","Ephemeroptera","Polymitarcyidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2118","potamanthidae","unknown","Animalia","Insecta","Ephemeroptera","Potamanthidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2119","elimia","unknown","Animalia","Gastropoda",NA,"Pleuroceridae",NA,NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"2120","pleurocera","unknown","Animalia","Gastropoda","Neotaenioglossa","Pleuroceridae",NA,NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"2121","unknown hemiptera","unknown","Animalia","Insecta",NA,NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2122","unknown hirudinae","unknown","Animalia","Clitellata",NA,NA,NA,NA,"Annelida",NA,"Hirudinea",NA,NA,"aquatic"
"2123","unknown isopoda","unknown","Animalia","Malacostraca","Isopoda",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2124","sisyridae","unknown","Animalia","Insecta","Neuroptera","Sisyridae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2125","aeshnidae","unknown","Animalia","Insecta","Odonata","Aeshnidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2126","misc zygoptera","unknown","Animalia","Insecta","Odonata",NA,NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2127","uknown oligochaeta","unknown","Animalia","Clitellata",NA,NA,NA,NA,"Annelida",NA,"Oligochaeta",NA,NA,"aquatic or terrestrial"
"2128","unown nematoda","unknown","Animalia",NA,NA,NA,NA,NA,"Nematoda",NA,NA,NA,NA,"aquatic or terrestrial"
"2129","polycentropodidae","unknown","Animalia","Insecta","Trichoptera","Polycentropodidae",NA,NA,"Arthropoda",NA,NA,NA,NA,"aquatic"
"2130","molluska","unknown","Animalia",NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,"aquatic"
"2131","helophoridae","unknown","Animalia","Insecta","Coleoptera","Helophoridae",NA,NA,"Arthropoda",NA,NA,NA,NA,"terrestrial"
"2132","alewife 25","unknown","Animalia","Actinopterygii","Clupeiformes","Clupeidae","Alosa pseudoharengus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
"2133","alewife 26","unknown","Animalia","Actinopterygii","Clupeiformes","Clupeidae","Alosa pseudoharengus",NA,"Chordata",NA,NA,NA,NA,"aquatic"
