"","site_name","lat.x","long","predator_min_length","predator_average_length","predator_max_length","length_units","length_measure","predator_stage","type_of_fish","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","measurement_type","measurement_units","author","year","journal","citation","table_figure","notes","prey_taxon","measurement","prey_stage","lon","lat.y"
"25","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","49","9/30/1973","10/2/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"chironomid_larvae","6","larvae","-16.9961055","65.60386"
"26","Lake Myvatn, N-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","31","6/23/1973","7/4/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"chironomid_larvae","2","larvae","-16.9961055","65.60386"
"27","Lake Myvatn, N-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","15","9/20/1973","9/20/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"chironomid_larvae","3","larvae","-16.9961055","65.60386"
"28","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","27","5/6/1973","5/6/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"benthic_crustacea",NA,"unknown","-16.9961055","65.60386"
"29","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","14","6/20/1972","6/28/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"benthic_crustacea","+","unknown","-16.9961055","65.60386"
"30","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","46","7/10/1973","7/21/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"benthic_crustacea","38","unknown","-16.9961055","65.60386"
"31","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","15","7/21/1972","7/21/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"benthic_crustacea","40","unknown","-16.9961055","65.60386"
"32","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","31","8/16/1973","8/16/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"benthic_crustacea","70","unknown","-16.9961055","65.60386"
"33","Lake Myvatn, S-basin",NA,NA,"10",NA,"45","cm",NA,NA,"Salvelinus alpinus","14","9/28/1972","9/28/1972","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"benthic_crustacea","30","unknown","-16.9961055","65.60386"
"34","Lake Myvatn, S-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","49","9/30/1973","10/2/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"benthic_crustacea","22","unknown","-16.9961055","65.60386"
"35","Lake Myvatn, N-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","31","6/23/1973","7/4/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"benthic_crustacea",NA,"unknown","-16.9961055","65.60386"
"36","Lake Myvatn, N-basin",NA,NA,"32",NA,"52","cm",NA,NA,"Salvelinus alpinus","15","9/20/1973","9/20/1973","monthly","lentic",NA,"volume","percent","Adalsteinsson","1979","Oikos","Adalsteinsson, H. (1979). Size and food of Arctic char Salvelinus alpinus and stickleback Gasterosteus aculeatus in Lake Mývatn. Oikos, 228-231.","tbl1",NA,"benthic_crustacea","13","unknown","-16.9961055","65.60386"
